Condition,Day,Replicate,Result
2-8C,0,1,100.1
2-8C,0,2,99.9
2-8C,0,3,100.0
2-8C,7,1,100.0
2-8C,7,2,99.8
2-8C,7,3,100.1
2-8C,14,1,99.9
2-8C,14,2,100.0
2-8C,14,3,99.8
2-8C,21,1,99.8
2-8C,21,2,99.9
2-8C,21,3,99.7
2-8C,28,1,99.8
2-8C,28,2,99.6
2-8C,28,3,99.7
2-8C,42,1,99.5
2-8C,42,2,99.7
2-8C,42,3,99.6
25C,0,1,100.1
25C,0,2,99.9
25C,0,3,100.0
25C,7,1,99.3
25C,7,2,99.4
25C,7,3,99.2
25C,14,1,98.6
25C,14,2,98.5
25C,14,3,98.7
25C,21,1,97.8
25C,21,2,97.9
25C,21,3,97.7
25C,28,1,97.0
25C,28,2,97.2
25C,28,3,96.9
25C,42,1,95.2
25C,42,2,95.4
25C,42,3,95.1
