level,day,result
level_1,0,1.21
level_1,40,1.17
level_1,80,1.22
level_1,120,1.18
level_1,162,1.15
level_1,203,1.14
level_1,255,1.11
level_1,305,1.08
level_1,364,1.13
level_1,410,1.09
level_2,0,3.41
level_2,40,3.44
level_2,80,3.33
level_2,120,3.22
level_2,162,3.27
level_2,203,3.18
level_2,255,3.06
level_2,305,3.03
level_2,364,3.01
level_2,410,2.97
level_3,0,7.51
level_3,40,7.44
level_3,80,7.39
level_3,120,7.31
level_3,162,7.27
level_3,203,7.17
level_3,255,7.07
level_3,305,7
level_3,364,6.96
level_3,410,6.88
