run,reagent_lot,technician,replicate,cholesterol
1,A,AK,1,7.9
1,A,AK,2,7.9
1,A,AK,3,8.1
2,A,AK,1,7.5
2,A,AK,2,7.3
2,A,AK,3,7.6
3,A,DT,1,7.2
3,A,DT,2,7.2
3,A,DT,3,7.2
4,A,DD,1,6.6
4,A,DD,2,6.8
4,A,DD,3,6.5
5,A,AK,1,7.3
5,A,AK,2,7.3
5,A,AK,3,7.3
6,A,AK,1,7.6
6,A,AK,2,7.5
6,A,AK,3,7.6
7,A,DT,1,7.5
7,A,DT,2,7.5
7,A,DT,3,7.5
8,A,DT,1,8.0
8,A,DT,2,8.0
8,A,DT,3,8.0
9,A,AK,1,7.3
9,A,AK,2,7.3
9,A,AK,3,7.3
10,A,DT,1,7.8
10,A,DT,2,7.8
10,A,DT,3,7.9
11,A,AK,1,7.8
11,A,AK,2,7.8
11,A,AK,3,8.0
12,A,AK,1,7.4
12,A,AK,2,7.5
12,A,AK,3,7.4
13,A,AK,1,7.5
13,A,AK,2,7.6
13,A,AK,3,7.4
14,A,DT,1,7.7
14,A,DT,2,7.6
14,A,DT,3,7.7
15,A,AK,1,7.9
15,A,AK,2,7.9
15,A,AK,3,8.0
16,A,DT,1,8.0
16,A,DT,2,8.0
16,A,DT,3,8.2
17,A,DT,1,7.8
17,A,DT,2,7.8
17,A,DT,3,7.7
18,A,DT,1,7.9
18,A,DT,2,8.1
18,A,DT,3,7.9
19,A,AK,1,7.5
19,A,AK,2,7.6
19,A,AK,3,7.7
20,A,DT,1,7.6
20,A,DT,2,7.6
20,A,DT,3,7.8
21,A,DT,1,7.8
21,A,DT,2,7.6
21,A,DT,3,7.7
22,B,AK,1,7.9
22,B,AK,2,7.9
22,B,AK,3,7.8
23,B,DT,1,7.6
23,B,DT,2,7.7
23,B,DT,3,7.6
24,B,DT,1,7.4
24,B,DT,2,7.6
24,B,DT,3,7.4
25,B,AK,1,7.3
25,B,AK,2,7.2
25,B,AK,3,7.4
26,B,AK,1,7.7
26,B,AK,2,7.5
26,B,AK,3,7.7
27,B,DT,1,7.8
27,B,DT,2,7.9
27,B,DT,3,7.7
28,B,DT,1,8.0
28,B,DT,2,8.0
28,B,DT,3,8.1
29,B,AK,1,7.9
29,B,AK,2,8.1
29,B,AK,3,7.8
30,B,DT,1,7.7
30,B,DT,2,7.6
30,B,DT,3,7.7
31,B,DT,1,7.9
31,B,DT,2,7.7
31,B,DT,3,7.8
32,B,DT,1,7.5
32,B,DT,2,7.5
32,B,DT,3,7.5
33,B,AK,1,7.4
33,B,AK,2,7.4
33,B,AK,3,7.6
34,B,DT,1,7.5
34,B,DT,2,7.5
34,B,DT,3,7.4
35,B,AK,1,7.7
35,B,AK,2,7.7
35,B,AK,3,7.6
36,B,AK,1,7.6
36,B,AK,2,7.6
36,B,AK,3,7.8
37,B,AK,1,7.8
37,B,AK,2,7.9
37,B,AK,3,7.7
38,B,DT,1,7.8
38,B,DT,2,7.8
38,B,DT,3,7.8
39,B,DT,1,8.0
39,B,DT,2,7.9
39,B,DT,3,8.0
40,B,AK,1,7.8
40,B,AK,2,7.7
40,B,AK,3,7.8
41,B,DT,1,7.9
41,B,DT,2,8.0
41,B,DT,3,7.9
42,B,DT,1,7.8
42,B,DT,2,7.8
42,B,DT,3,7.9

