"day","replicate","bottle","result","unit"
1,1,1,176.8,"umol/L"
1,2,2,177.27,"umol/L"
1,3,1,178.96,"umol/L"
1,4,2,177.88,"umol/L"
1,5,1,177.25,"umol/L"
1,1,2,181.06,"umol/L"
1,2,1,178.68,"umol/L"
1,3,2,179.14,"umol/L"
1,4,1,179.45,"umol/L"
1,5,2,178.3,"umol/L"
2,1,1,180.71,"umol/L"
2,2,2,181.2,"umol/L"
2,3,1,177.99,"umol/L"
2,4,2,178.47,"umol/L"
2,5,1,179.91,"umol/L"
2,1,2,180.27,"umol/L"
2,2,1,181.13,"umol/L"
2,3,2,180.99,"umol/L"
2,4,1,176.86,"umol/L"
2,5,2,179.67,"umol/L"
3,1,1,181.42,"umol/L"
3,2,2,181.44,"umol/L"
3,3,1,180.07,"umol/L"
3,4,2,178.67,"umol/L"
3,5,1,181.37,"umol/L"
3,1,2,180.27,"umol/L"
3,2,1,179.29,"umol/L"
3,3,2,181.49,"umol/L"
3,4,1,180.22,"umol/L"
3,5,2,180.34,"umol/L"
4,1,1,179.83,"umol/L"
4,2,2,177.79,"umol/L"
4,3,1,179.9,"umol/L"
4,4,2,180.92,"umol/L"
4,5,1,178.02,"umol/L"
4,1,2,178.61,"umol/L"
4,2,1,179.02,"umol/L"
4,3,2,180.09,"umol/L"
4,4,1,176.97,"umol/L"
4,5,2,180.91,"umol/L"
5,1,1,181.51,"umol/L"
5,2,2,179.15,"umol/L"
5,3,1,178.86,"umol/L"
5,4,2,177.09,"umol/L"
5,5,1,180.66,"umol/L"
5,1,2,181.44,"umol/L"
5,2,1,182.34,"umol/L"
5,3,2,182.61,"umol/L"
5,4,1,181.56,"umol/L"
5,5,2,182.62,"umol/L"
