"bottle","replicate","result","unit"
1,1,6.98,"mg/dL"
1,2,7.22,"mg/dL"
1,3,7.23,"mg/dL"
2,1,7.36,"mg/dL"
2,2,7.24,"mg/dL"
2,3,7.1,"mg/dL"
3,1,7.18,"mg/dL"
3,2,7,"mg/dL"
3,3,6.95,"mg/dL"
4,1,7.03,"mg/dL"
4,2,7.25,"mg/dL"
4,3,7.12,"mg/dL"
5,1,6.94,"mg/dL"
5,2,7.06,"mg/dL"
5,3,7.07,"mg/dL"
6,1,7.16,"mg/dL"
6,2,7.18,"mg/dL"
6,3,7,"mg/dL"
7,1,7.13,"mg/dL"
7,2,7.31,"mg/dL"
7,3,7.32,"mg/dL"
8,1,7.23,"mg/dL"
8,2,7.15,"mg/dL"
8,3,7.23,"mg/dL"
9,1,7.35,"mg/dL"
9,2,7.19,"mg/dL"
9,3,7.21,"mg/dL"
10,1,7.26,"mg/dL"
10,2,7.22,"mg/dL"
10,3,7.05,"mg/dL"
11,1,6.94,"mg/dL"
11,2,7.11,"mg/dL"
11,3,7.18,"mg/dL"
12,1,7.27,"mg/dL"
12,2,7.1,"mg/dL"
12,3,7.06,"mg/dL"
13,1,7.02,"mg/dL"
13,2,7.14,"mg/dL"
13,3,7.33,"mg/dL"
14,1,7.21,"mg/dL"
14,2,6.99,"mg/dL"
14,3,7.04,"mg/dL"
