"sample_id","material_type","run_order","procedure","replicate","result","position"
"CS01","clinical",6,"A",1,81.22,
"CS01","clinical",6,"A",2,77.01,
"CS01","clinical",6,"A",3,76.44,
"CS01","clinical",6,"B",1,80.74,
"CS01","clinical",6,"B",2,82.22,
"CS01","clinical",6,"B",3,81.34,
"CS02","clinical",16,"A",1,1646.21,
"CS02","clinical",16,"A",2,1603.92,
"CS02","clinical",16,"A",3,1488.53,
"CS02","clinical",16,"B",1,1800.98,
"CS02","clinical",16,"B",2,1723.45,
"CS02","clinical",16,"B",3,1680.66,
"CS03","clinical",2,"A",1,54.16,
"CS03","clinical",2,"A",2,55.23,
"CS03","clinical",2,"A",3,62,
"CS03","clinical",2,"B",1,66.01,
"CS03","clinical",2,"B",2,62.84,
"CS03","clinical",2,"B",3,60.04,
"CS04","clinical",21,"A",1,1819.54,
"CS04","clinical",21,"A",2,1829.46,
"CS04","clinical",21,"A",3,1916.59,
"CS04","clinical",21,"B",1,1751.11,
"CS04","clinical",21,"B",2,1802.45,
"CS04","clinical",21,"B",3,1521.11,
"CS05","clinical",26,"A",1,40.03,
"CS05","clinical",26,"A",2,46.25,
"CS05","clinical",26,"A",3,44.55,
"CS05","clinical",26,"B",1,41.23,
"CS05","clinical",26,"B",2,39.32,
"CS05","clinical",26,"B",3,38.3,
"CS06","clinical",15,"A",1,2615.25,
"CS06","clinical",15,"A",2,2490.13,
"CS06","clinical",15,"A",3,2440.12,
"CS06","clinical",15,"B",1,2083.66,
"CS06","clinical",15,"B",2,2394.44,
"CS06","clinical",15,"B",3,2172.02,
"CS07","clinical",20,"A",1,220.34,
"CS07","clinical",20,"A",2,210.36,
"CS07","clinical",20,"A",3,200,
"CS07","clinical",20,"B",1,204.97,
"CS07","clinical",20,"B",2,209.83,
"CS07","clinical",20,"B",3,198.78,
"CS08","clinical",13,"A",1,461.21,
"CS08","clinical",13,"A",2,450.23,
"CS08","clinical",13,"A",3,435.11,
"CS08","clinical",13,"B",1,500.25,
"CS08","clinical",13,"B",2,471.42,
"CS08","clinical",13,"B",3,452.21,
"CS09","clinical",18,"A",1,77.3,
"CS09","clinical",18,"A",2,74.37,
"CS09","clinical",18,"A",3,71.2,
"CS09","clinical",18,"B",1,71.15,
"CS09","clinical",18,"B",2,77.1,
"CS09","clinical",18,"B",3,70.33,
"CS10","clinical",4,"A",1,700.23,
"CS10","clinical",4,"A",2,653.91,
"CS10","clinical",4,"A",3,633.12,
"CS10","clinical",4,"B",1,701.12,
"CS10","clinical",4,"B",2,643.87,
"CS10","clinical",4,"B",3,608.41,
"CS11","clinical",22,"A",1,380.7,
"CS11","clinical",22,"A",2,364.58,
"CS11","clinical",22,"A",3,355.62,
"CS11","clinical",22,"B",1,365.12,
"CS11","clinical",22,"B",2,356.31,
"CS11","clinical",22,"B",3,348.4,
"CS12","clinical",9,"A",1,2723.29,
"CS12","clinical",9,"A",2,2734.05,
"CS12","clinical",9,"A",3,2519.15,
"CS12","clinical",9,"B",1,3331.11,
"CS12","clinical",9,"B",2,3004.24,
"CS12","clinical",9,"B",3,2966.66,
"CS13","clinical",12,"A",1,868.44,
"CS13","clinical",12,"A",2,854.53,
"CS13","clinical",12,"A",3,810.62,
"CS13","clinical",12,"B",1,800.14,
"CS13","clinical",12,"B",2,852.06,
"CS13","clinical",12,"B",3,824.17,
"CS14","clinical",8,"A",1,54.67,
"CS14","clinical",8,"A",2,45.03,
"CS14","clinical",8,"A",3,54.73,
"CS14","clinical",8,"B",1,55.21,
"CS14","clinical",8,"B",2,54.05,
"CS14","clinical",8,"B",3,50.93,
"CS15","clinical",7,"A",1,90.82,
"CS15","clinical",7,"A",2,88.03,
"CS15","clinical",7,"A",3,84.72,
"CS15","clinical",7,"B",1,83.7,
"CS15","clinical",7,"B",2,81.2,
"CS15","clinical",7,"B",3,78.83,
"CS16","clinical",23,"A",1,3201.66,
"CS16","clinical",23,"A",2,3156.39,
"CS16","clinical",23,"A",3,3011.66,
"CS16","clinical",23,"B",1,2929.75,
"CS16","clinical",23,"B",2,3120.04,
"CS16","clinical",23,"B",3,3200.7,
"CS17","clinical",1,"A",1,351.2,
"CS17","clinical",1,"A",2,320.4,
"CS17","clinical",1,"A",3,298.72,
"CS17","clinical",1,"B",1,321,
"CS17","clinical",1,"B",2,301.21,
"CS17","clinical",1,"B",3,295.77,
"CS18","clinical",14,"A",1,1001.23,
"CS18","clinical",14,"A",2,975.24,
"CS18","clinical",14,"A",3,961.22,
"CS18","clinical",14,"B",1,1050.1,
"CS18","clinical",14,"B",2,943.41,
"CS18","clinical",14,"B",3,972.82,
"CS19","clinical",11,"A",1,1300.21,
"CS19","clinical",11,"A",2,1120.29,
"CS19","clinical",11,"A",3,1120.33,
"CS19","clinical",11,"B",1,1352,
"CS19","clinical",11,"B",2,1162.39,
"CS19","clinical",11,"B",3,1059.08,
"CS20","clinical",5,"A",1,325.31,
"CS20","clinical",5,"A",2,316.92,
"CS20","clinical",5,"A",3,300.13,
"CS20","clinical",5,"B",1,331.2,
"CS20","clinical",5,"B",2,312.49,
"CS20","clinical",5,"B",3,317.16,
"a","rm",27,"A",1,789.34,
"a","rm",27,"A",2,769.43,
"a","rm",27,"A",3,792.23,
"a","rm",27,"B",1,655.22,
"a","rm",27,"B",2,725.51,
"a","rm",27,"B",3,695.44,
"b","rm",3,"A",1,407.02,
"b","rm",3,"A",2,387.99,
"b","rm",3,"A",3,402,
"b","rm",3,"B",1,344.5,
"b","rm",3,"B",2,355.1,
"b","rm",3,"B",3,370.05,
"c","rm",25,"A",1,1554.02,
"c","rm",25,"A",2,1572.04,
"c","rm",25,"A",3,1580.26,
"c","rm",25,"B",1,1750.12,
"c","rm",25,"B",2,1588,
"c","rm",25,"B",3,1625.55,
"d","rm",24,"A",1,104.09,
"d","rm",24,"A",2,98.36,
"d","rm",24,"A",3,109.23,
"d","rm",24,"B",1,85.02,
"d","rm",24,"B",2,92.77,
"d","rm",24,"B",3,99.55,
"e","rm",10,"A",1,3002.35,
"e","rm",10,"A",2,2978.68,
"e","rm",10,"A",3,3010.3,
"e","rm",10,"B",1,3105.22,
"e","rm",10,"B",2,2844.11,
"e","rm",10,"B",3,2951,
"f","rm",19,"A",1,210.36,
"f","rm",19,"A",2,203.05,
"f","rm",19,"A",3,199.27,
"f","rm",19,"B",1,170.29,
"f","rm",19,"B",2,182.37,
"f","rm",19,"B",3,190.11,
"g","rm",17,"A",1,50.34,
"g","rm",17,"A",2,49.29,
"g","rm",17,"A",3,52.04,
"g","rm",17,"B",1,40.45,
"g","rm",17,"B",2,42.31,
"g","rm",17,"B",3,50.25,
