"sample_id","material_type","procedure","result","position","replicate"
"CS1","clinical","MPx",63.5045216919737,,1
"CS1","clinical","MPx",64.0715225999366,,2
"CS1","clinical","MPx",62.3855284949163,,3
"CS1","clinical","MPy",74.3578232198723,,1
"CS1","clinical","MPy",76.8781900785321,,2
"CS1","clinical","MPy",69.2537834185386,,3
"CS2","clinical","MPx",83.2811490983312,,1
"CS2","clinical","MPx",85.1525577175522,,2
"CS2","clinical","MPx",81.8136781718328,,3
"CS2","clinical","MPy",97.7313338155813,,1
"CS2","clinical","MPy",90.6192503425967,,2
"CS2","clinical","MPy",93.4828295054753,,3
"CS3","clinical","MPx",296.222574048135,,1
"CS3","clinical","MPx",277.734790311768,,2
"CS3","clinical","MPx",303.552796916245,,3
"CS3","clinical","MPy",378.25007674205,,1
"CS3","clinical","MPy",374.070560644506,,2
"CS3","clinical","MPy",353.070116198529,,3
"CS4","clinical","MPx",195.065096943324,,1
"CS4","clinical","MPx",188.670102405666,,2
"CS4","clinical","MPx",192.481491297246,,3
"CS4","clinical","MPy",232.499689348001,,1
"CS4","clinical","MPy",208.976587095294,,2
"CS4","clinical","MPy",222.39263469389,,3
"CS5","clinical","MPx",14.0443786863422,,1
"CS5","clinical","MPx",14.1697740952795,,2
"CS5","clinical","MPx",14.2962890986776,,3
"CS5","clinical","MPy",16.2991198775259,,1
"CS5","clinical","MPy",16.3717216280292,,2
"CS5","clinical","MPy",17.1157655371459,,3
"CS6","clinical","MPx",7.03650157376002,,1
"CS6","clinical","MPx",6.94330424897216,,2
"CS6","clinical","MPy",8.57532496295863,,1
"CS6","clinical","MPy",8.78752703211876,,2
"CS6","clinical","MPy",8.74855801837528,,3
"CS7","clinical","MPx",18.5825361356559,,1
"CS7","clinical","MPx",19.1271943638754,,2
"CS7","clinical","MPx",20.0409519538942,,3
"CS7","clinical","MPy",18.0133132788703,,1
"CS7","clinical","MPy",17.8142731796122,,2
"CS7","clinical","MPy",16.9266429910239,,3
"CS8","clinical","MPx",11.0231763806416,,1
"CS8","clinical","MPx",12.128469685973,,2
"CS8","clinical","MPx",10.8530315277999,,3
"CS8","clinical","MPy",14.3919160951499,,1
