sample_id,procedure,calibration_stage,result
CS1,MP1,before,31
CS1,MP2,before,30
CS1,MP3,before,36
CS1,MP4,before,49
CS1,MP5,before,23
CS1,MP6,before,24
CS1,MP7,before,26
CS2,MP1,before,34
CS2,MP2,before,39
CS2,MP3,before,43
CS2,MP4,before,54
CS2,MP5,before,23
CS2,MP6,before,27
CS2,MP7,before,31
CS3,MP1,before,38
CS3,MP2,before,42
CS3,MP3,before,46
CS3,MP4,before,58
CS3,MP5,before,25
CS3,MP6,before,31
CS3,MP7,before,33
CS4,MP1,before,40
CS4,MP2,before,47
CS4,MP3,before,49
CS4,MP4,before,65
CS4,MP5,before,29
CS4,MP6,before,34
CS4,MP7,before,39
CS5,MP1,before,44
CS5,MP2,before,46
CS5,MP3,before,49
CS5,MP4,before,63
CS5,MP5,before,29
CS5,MP6,before,34
CS5,MP7,before,38
CS6,MP1,before,46
CS6,MP2,before,51
CS6,MP3,before,60
CS6,MP4,before,71
CS6,MP5,before,34
CS6,MP6,before,35
CS6,MP7,before,41
CS7,MP1,before,49
CS7,MP2,before,48
CS7,MP3,before,82
CS7,MP4,before,67
CS7,MP5,before,31
CS7,MP6,before,34
CS7,MP7,before,40
CS8,MP1,before,49
CS8,MP2,before,52
CS8,MP3,before,60
CS8,MP4,before,72
CS8,MP5,before,34
CS8,MP6,before,37
CS8,MP7,before,43
CS9,MP1,before,47
CS9,MP2,before,56
CS9,MP3,before,62
CS9,MP4,before,74
CS9,MP5,before,33
CS9,MP6,before,39
CS9,MP7,before,44
CS10,MP1,before,48
CS10,MP2,before,55
CS10,MP3,before,60
CS10,MP4,before,75
CS10,MP5,before,36
CS10,MP6,before,40
CS10,MP7,before,46
CS11,MP1,before,51
CS11,MP2,before,57
CS11,MP3,before,60
CS11,MP4,before,78
CS11,MP5,before,36
CS11,MP6,before,44
CS11,MP7,before,45
CS12,MP1,before,58
CS12,MP2,before,57
CS12,MP3,before,62
CS12,MP4,before,79
CS12,MP5,before,36
CS12,MP6,before,42
CS12,MP7,before,47
CS13,MP1,before,57
CS13,MP2,before,64
CS13,MP3,before,60
CS13,MP4,before,82
CS13,MP5,before,36
CS13,MP6,before,43
CS13,MP7,before,51
CS14,MP1,before,57
CS14,MP2,before,47
CS14,MP3,before,67
CS14,MP4,before,95
CS14,MP5,before,49
CS14,MP6,before,58
CS14,MP7,before,35
CS15,MP1,before,55
CS15,MP2,before,66
CS15,MP3,before,68
CS15,MP4,before,84
CS15,MP5,before,39
CS15,MP6,before,46
CS15,MP7,before,50
CS16,MP1,before,57
CS16,MP2,before,63
CS16,MP3,before,76
CS16,MP4,before,85
CS16,MP5,before,41
CS16,MP6,before,45
CS16,MP7,before,52
CS17,MP1,before,63
CS17,MP2,before,65
CS17,MP3,before,70
CS17,MP4,before,87
CS17,MP5,before,41
CS17,MP6,before,48
CS17,MP7,before,52
CS18,MP1,before,62
CS18,MP2,before,66
CS18,MP3,before,67
CS18,MP4,before,91
CS18,MP5,before,45
CS18,MP6,before,51
CS18,MP7,before,56
CS19,MP1,before,59
CS19,MP2,before,67
CS19,MP3,before,74
CS19,MP4,before,89
CS19,MP5,before,44
CS19,MP6,before,50
CS19,MP7,before,57
CS20,MP1,before,70
CS20,MP2,before,69
CS20,MP3,before,77
CS20,MP4,before,92
CS20,MP5,before,45
CS20,MP6,before,49
CS20,MP7,before,59
CS21,MP1,before,65
CS21,MP2,before,73
CS21,MP3,before,86
CS21,MP4,before,96
CS21,MP5,before,47
CS21,MP6,before,53
CS21,MP7,before,59
CS22,MP1,before,69
CS22,MP2,before,74
CS22,MP3,before,79
CS22,MP4,before,100
CS22,MP5,before,50
CS22,MP6,before,54
CS22,MP7,before,62
CS23,MP1,before,70
CS23,MP2,before,76
CS23,MP3,before,79
CS23,MP4,before,98
CS23,MP5,before,47
CS23,MP6,before,53
CS23,MP7,before,61
CS24,MP1,before,65
CS24,MP2,before,78
CS24,MP3,before,82
CS24,MP4,before,102
CS24,MP5,before,49
CS24,MP6,before,53
CS24,MP7,before,66
CS25,MP1,before,69
CS25,MP2,before,80
CS25,MP3,before,90
CS25,MP4,before,105
CS25,MP5,before,50
CS25,MP6,before,60
CS25,MP7,before,66
CS26,MP1,before,73
CS26,MP2,before,74
CS26,MP3,before,94
CS26,MP4,before,106
CS26,MP5,before,55
CS26,MP6,before,63
CS26,MP7,before,65
CS27,MP1,before,73
CS27,MP2,before,86
CS27,MP3,before,89
CS27,MP4,before,111
CS27,MP5,before,54
CS27,MP6,before,53
CS27,MP7,before,71
CS28,MP1,before,80
CS28,MP2,before,79
CS28,MP3,before,97
CS28,MP4,before,108
CS28,MP5,before,44
CS28,MP6,before,57
CS28,MP7,before,67
CS29,MP1,before,72
CS29,MP2,before,84
CS29,MP3,before,97
CS29,MP4,before,106
CS29,MP5,before,50
CS29,MP6,before,60
CS29,MP7,before,68
CS30,MP1,before,81
CS30,MP2,before,88
CS30,MP3,before,97
CS30,MP4,before,115
CS30,MP5,before,60
CS30,MP6,before,65
