calibration_stage,procedure,statistic,standard,tolerance,status,note
before,MP1,median_bias_percent,-0.4,0.11,舍入对应,Table 1
before,MP1,sd_bias_percent,4.01,0.02,舍入对应,Table 2
before,MP1,adjusted_w3_percent,4.01,0.10,舍入对应,Table 2
before,MP2,median_bias_percent,9.5,0.11,舍入对应,Table 1
before,MP2,sd_bias_percent,5.72,0.02,舍入对应,Table 2
before,MP2,adjusted_w3_percent,5.57,0.10,舍入对应,Table 2
before,MP3,median_bias_percent,20.7,0.11,舍入对应,Table 1
before,MP3,sd_bias_percent,9.54,0.02,舍入对应,Table 2
before,MP3,adjusted_w3_percent,5.9,0.10,舍入对应,Table 2
before,MP4,median_bias_percent,46.6,0.11,舍入对应,Table 1
before,MP4,sd_bias_percent,6.73,0.02,舍入对应,Table 2
before,MP4,adjusted_w3_percent,5.89,0.10,舍入对应,Table 2
before,MP5,median_bias_percent,-30,0.11,舍入对应,Table 1
before,MP5,sd_bias_percent,4.59,0.02,舍入对应,Table 2
before,MP5,adjusted_w3_percent,3.49,0.10,舍入对应,Table 2
before,MP6,median_bias_percent,-19.4,0.11,舍入对应,Table 1
before,MP6,sd_bias_percent,5.3,0.02,舍入对应,Table 2
before,MP6,adjusted_w3_percent,3.96,0.10,舍入对应,Table 2
before,MP7,median_bias_percent,-11.4,0.11,舍入对应,Table 1
before,MP7,sd_bias_percent,5.65,0.02,舍入对应,Table 2
before,MP7,adjusted_w3_percent,4.63,0.10,舍入对应,Table 2
after,MP1,median_bias_percent,-0.8,0.11,舍入对应,Table 1
after,MP1,sd_bias_percent,4.05,0.02,舍入对应,Table 2
after,MP1,adjusted_w3_percent,4.05,0.10,舍入对应,Table 2
after,MP2,median_bias_percent,-0.3,0.11,舍入对应,Table 1
after,MP2,sd_bias_percent,4.99,0.02,舍入对应,Table 2
after,MP2,adjusted_w3_percent,4.98,0.10,舍入对应,Table 2
after,MP3,median_bias_percent,-0.2,0.11,舍入对应,Table 1
after,MP3,sd_bias_percent,7.83,0.02,舍入对应,Table 2
after,MP3,adjusted_w3_percent,4.95,0.10,舍入对应,Table 2
after,MP4,median_bias_percent,-0.3,0.11,舍入对应,Table 1
after,MP4,sd_bias_percent,3.8,0.02,舍入对应,Table 2
after,MP4,adjusted_w3_percent,3.45,0.10,舍入对应,Table 2
after,MP5,median_bias_percent,0.4,0.11,舍入对应,Table 1
after,MP5,sd_bias_percent,6.34,0.02,舍入对应,Table 2
after,MP5,adjusted_w3_percent,4.39,0.10,舍入对应,Table 2
after,MP6,median_bias_percent,-21.3,0.11,舍入对应,Table 1
after,MP6,sd_bias_percent,4.89,0.02,舍入对应,Table 2
after,MP6,adjusted_w3_percent,3.57,0.10,舍入对应,Table 2
after,MP7,median_bias_percent,-1.1,0.11,舍入对应,Table 1
after,MP7,sd_bias_percent,6.45,0.02,舍入对应,Table 2
after,MP7,adjusted_w3_percent,5.06,0.10,舍入对应,Table 2
before,ALL,impbr_percent,76.6,0.05,舍入对应,Table 1
after,ALL,impbr_percent,21.6,0.05,舍入对应,Table 1
after,EXCLUDE_MP6,impbr_percent,1.5,0.11,舍入对应,Table 1
