"level","statistic","calculated","standard","tolerance","difference","status"
"low","control_mean",0.500000,0.50,0.005,0.000000,"对应"
"low","test_mean",0.300000,0.30,0.005,0.000000,"对应"
"low","control_sd",0.047434,0.047,0.0005,0.000434,"对应"
"low","test_sd",0.057009,0.057,0.0005,0.000009,"对应"
"low","difference",-0.200000,-0.20,0.005,0.000000,"对应"
"low","ci_lower",-0.276482,-0.28,0.005,0.003518,"对应"
"low","ci_upper",-0.123519,-0.12,0.005,-0.003519,"对应"
"high","control_mean",5.000000,5.00,0.005,0.000000,"对应"
"high","test_mean",4.550000,4.55,0.005,0.000000,"对应"
"high","control_sd",0.140890,0.141,0.0005,-0.000110,"对应"
"high","test_sd",0.163248,0.163,0.0005,0.000248,"对应"
"high","difference_percent",-9.000000,-9.0,0.05,0.000000,"对应"
"high","ci_lower_percent",-13.447660,-13.4,0.05,-0.047660,"对应"
"high","ci_upper_percent",-4.552340,-4.6,0.05,0.047660,"对应"
