"level","condition","replicate","result","unit"
"low","control",1,0.45,"mg/dL"
"low","control",2,0.56,"mg/dL"
"low","control",3,0.48,"mg/dL"
"low","control",4,0.54,"mg/dL"
"low","control",5,0.47,"mg/dL"
"low","test",1,0.24,"mg/dL"
"low","test",2,0.28,"mg/dL"
"low","test",3,0.35,"mg/dL"
"low","test",4,0.37,"mg/dL"
"low","test",5,0.26,"mg/dL"
"high","control",1,4.82,"mg/dL"
"high","control",2,5.00,"mg/dL"
"high","control",3,5.21,"mg/dL"
"high","control",4,4.95,"mg/dL"
"high","control",5,5.02,"mg/dL"
"high","test",1,4.42,"mg/dL"
"high","test",2,4.47,"mg/dL"
"high","test",3,4.41,"mg/dL"
"high","test",4,4.69,"mg/dL"
"high","test",5,4.76,"mg/dL"
