"sample","replicate","concentration","result","concentration_unit","result_unit"
1,1,0,201.4,"mg/dL","nmol/L"
1,2,0,199.1,"mg/dL","nmol/L"
1,3,0,197.8,"mg/dL","nmol/L"
1,4,0,199.6,"mg/dL","nmol/L"
1,5,0,202.2,"mg/dL","nmol/L"
2,1,10,217.8,"mg/dL","nmol/L"
2,2,10,226.0,"mg/dL","nmol/L"
2,3,10,228.9,"mg/dL","nmol/L"
2,4,10,226.5,"mg/dL","nmol/L"
2,5,10,220.3,"mg/dL","nmol/L"
3,1,20,237.3,"mg/dL","nmol/L"
3,2,20,236.4,"mg/dL","nmol/L"
3,3,20,239.7,"mg/dL","nmol/L"
3,4,20,243.2,"mg/dL","nmol/L"
3,5,20,243.8,"mg/dL","nmol/L"
4,1,30,247.0,"mg/dL","nmol/L"
4,2,30,251.2,"mg/dL","nmol/L"
4,3,30,248.5,"mg/dL","nmol/L"
4,4,30,239.1,"mg/dL","nmol/L"
4,5,30,242.8,"mg/dL","nmol/L"
5,1,40,255.4,"mg/dL","nmol/L"
5,2,40,244.4,"mg/dL","nmol/L"
5,3,40,253.7,"mg/dL","nmol/L"
5,4,40,254.6,"mg/dL","nmol/L"
5,5,40,251.3,"mg/dL","nmol/L"
