"interferent","analyte_level","concentration","replicate","result","result_unit","concentration_unit"
"hemoglobin","low",0,1,0.282,"uIU/mL","mg/dL"
"hemoglobin","low",0,2,0.290,"uIU/mL","mg/dL"
"hemoglobin","low",0,3,0.263,"uIU/mL","mg/dL"
"hemoglobin","low",500,1,0.274,"uIU/mL","mg/dL"
"hemoglobin","low",500,2,0.307,"uIU/mL","mg/dL"
"hemoglobin","low",500,3,0.310,"uIU/mL","mg/dL"
"hemoglobin","low",1000,1,0.331,"uIU/mL","mg/dL"
"hemoglobin","low",1000,2,0.341,"uIU/mL","mg/dL"
"hemoglobin","low",1000,3,0.326,"uIU/mL","mg/dL"
"hemoglobin","low",1500,1,0.353,"uIU/mL","mg/dL"
"hemoglobin","low",1500,2,0.358,"uIU/mL","mg/dL"
"hemoglobin","low",1500,3,0.350,"uIU/mL","mg/dL"
"hemoglobin","low",2000,1,0.359,"uIU/mL","mg/dL"
"hemoglobin","low",2000,2,0.371,"uIU/mL","mg/dL"
"hemoglobin","low",2000,3,0.361,"uIU/mL","mg/dL"
"hemoglobin","high",0,1,5.47,"uIU/mL","mg/dL"
"hemoglobin","high",0,2,5.18,"uIU/mL","mg/dL"
"hemoglobin","high",0,3,5.17,"uIU/mL","mg/dL"
"hemoglobin","high",500,1,5.13,"uIU/mL","mg/dL"
"hemoglobin","high",500,2,5.31,"uIU/mL","mg/dL"
"hemoglobin","high",500,3,5.27,"uIU/mL","mg/dL"
"hemoglobin","high",1000,1,5.44,"uIU/mL","mg/dL"
"hemoglobin","high",1000,2,5.21,"uIU/mL","mg/dL"
"hemoglobin","high",1000,3,5.29,"uIU/mL","mg/dL"
"hemoglobin","high",1500,1,5.48,"uIU/mL","mg/dL"
"hemoglobin","high",1500,2,5.44,"uIU/mL","mg/dL"
"hemoglobin","high",1500,3,5.40,"uIU/mL","mg/dL"
"hemoglobin","high",2000,1,5.54,"uIU/mL","mg/dL"
"hemoglobin","high",2000,2,5.58,"uIU/mL","mg/dL"
"hemoglobin","high",2000,3,5.69,"uIU/mL","mg/dL"
