"interferent","analyte_level","condition","interferent_concentration","replicate","result","result_unit","concentration_unit"
"LH","low","control",0,1,0.281,"uIU/mL","uIU/mL"
"LH","low","control",0,2,0.283,"uIU/mL","uIU/mL"
"LH","low","control",0,3,0.282,"uIU/mL","uIU/mL"
"LH","low","test",200000,1,0.312,"uIU/mL","uIU/mL"
"LH","low","test",200000,2,0.305,"uIU/mL","uIU/mL"
"LH","low","test",200000,3,0.298,"uIU/mL","uIU/mL"
"LH","high","control",0,1,4.98,"uIU/mL","uIU/mL"
"LH","high","control",0,2,5.03,"uIU/mL","uIU/mL"
"LH","high","control",0,3,5.11,"uIU/mL","uIU/mL"
"LH","high","test",200000,1,5.29,"uIU/mL","uIU/mL"
"LH","high","test",200000,2,5.19,"uIU/mL","uIU/mL"
"LH","high","test",200000,3,5.23,"uIU/mL","uIU/mL"
