"case","stratum","statistic","standard","tolerance","status"
"appendix_a","hemoglobin_low","control_mean",0.276,0.0005,"对应"
"appendix_a","hemoglobin_low","test_mean",0.353,0.0005,"对应"
"appendix_a","hemoglobin_low","difference",0.077,0.0005,"对应"
"appendix_a","hemoglobin_high","control_mean",5.303,0.0005,"对应"
"appendix_a","hemoglobin_high","test_mean",5.747,0.0005,"对应"
"appendix_a","hemoglobin_high","difference",0.443,0.0005,"对应"
"appendix_a","rheumatoid_factor_low","control_mean",0.266,0.0005,"对应"
"appendix_a","rheumatoid_factor_low","test_mean",0.261,0.0005,"对应"
"appendix_a","rheumatoid_factor_low","difference",-0.005,0.0005,"对应"
"appendix_a","rheumatoid_factor_high","control_mean",5.483,0.0005,"对应"
"appendix_a","rheumatoid_factor_high","test_mean",5.643,0.0005,"对应"
"appendix_a","rheumatoid_factor_high","difference",0.160,0.0005,"对应"
"appendix_b","low_0","mean",0.278,0.0005,"对应"
"appendix_b","low_0","difference",0.000,0.0005,"对应"
"appendix_b","low_500","mean",0.297,0.0005,"对应"
"appendix_b","low_500","difference",0.019,0.0005,"对应"
"appendix_b","low_1000","mean",0.333,0.0005,"对应"
"appendix_b","low_1000","difference",0.054,0.0005,"对应"
"appendix_b","low_1500","mean",0.354,0.0005,"对应"
"appendix_b","low_1500","difference",0.075,0.0005,"对应"
"appendix_b","low_2000","mean",0.364,0.0005,"对应"
"appendix_b","low_2000","difference",0.085,0.0005,"对应"
"appendix_b","high_0","mean",5.273,0.0005,"对应"
"appendix_b","high_0","difference",0.000,0.0005,"对应"
"appendix_b","high_500","mean",5.237,0.0005,"对应"
"appendix_b","high_500","difference",-0.037,0.0005,"对应"
"appendix_b","high_1000","mean",5.313,0.0005,"对应"
"appendix_b","high_1000","difference",0.040,0.0005,"对应"
"appendix_b","high_1500","mean",5.440,0.0005,"对应"
"appendix_b","high_1500","difference",0.167,0.0005,"对应"
"appendix_b","high_2000","mean",5.603,0.0005,"对应"
"appendix_b","high_2000","difference",0.330,0.0005,"对应"
"appendix_b","low","interference_concentration",658.88,0.01,"对应"
"appendix_c","control","mean_difference",-1.04,0.005,"对应"
"appendix_c","control","sd_difference",2.16,0.005,"对应"
"appendix_c","control","ci_lower",-2.05,0.005,"对应"
"appendix_c","control","ci_upper",-0.03,0.005,"对应"
"appendix_c","test","mean_difference",-1.18,0.005,"对应"
"appendix_c","test","sd_difference",2.39,0.005,"对应"
"appendix_c","test","ci_lower",-2.30,0.005,"对应"
"appendix_c","test","ci_upper",-0.06,0.005,"对应"
"appendix_d","low","control_mean",0.282,0.0005,"对应"
"appendix_d","low","test_mean",0.305,0.0005,"对应"
"appendix_d","low","cross_reactivity_percent",0.00001,0.000005,"对应"
"appendix_d","high","control_mean",5.04,0.005,"对应"
"appendix_d","high","test_mean",5.24,0.005,"对应"
"appendix_d","high","cross_reactivity_percent",0.00010,0.000005,"对应"
