sample,dilution,dilution_factor,assigned,observed_mean
1,neat,1,220.3,220.3
1,1/2,2,220.3,114.8
1,1/4,4,220.3,58.2
1,1/10,10,220.3,25.6
1,1/20,20,220.3,15.7
2,neat,1,260.1,260.1
2,1/2,2,260.1,128.2
2,1/4,4,260.1,67.1
2,1/10,10,260.1,28.8
2,1/20,20,260.1,17.4
3,neat,1,248.0,248.0
3,1/2,2,248.0,127.3
3,1/4,4,248.0,66.3
3,1/10,10,248.0,29.6
3,1/20,20,248.0,15.6
4,neat,1,272.2,272.2
4,1/2,2,272.2,129.7
4,1/4,4,272.2,68.8
4,1/10,10,272.2,31.2
4,1/20,20,272.2,17.5
5,neat,1,244.0,244.0
5,1/2,2,244.0,124.1
5,1/4,4,244.0,65.9
5,1/10,10,244.0,28.0
5,1/20,20,244.0,17.9
