case,dilution,statistic,standard,tolerance,status
single,neat,recovery,100.00,0.07,对应（原文中间量经舍入）
single,1/2,recovery,95.59,0.07,对应（原文中间量经舍入）
single,1/4,recovery,101.47,0.07,对应（原文中间量经舍入）
single,1/10,recovery,105.75,0.07,对应（原文中间量经舍入）
single,1/20,recovery,99.36,0.07,对应（原文中间量经舍入）
multiple,neat,mean_recovery,100.00,0.10,对应（原文中间量经舍入）
multiple,neat,lower_ci,100.00,0.10,对应（原文中间量经舍入）
multiple,neat,upper_ci,100.00,0.10,对应（原文中间量经舍入）
multiple,1/2,mean_recovery,100.53,0.10,对应（原文中间量经舍入）
multiple,1/2,lower_ci,96.16,0.10,对应（原文中间量经舍入）
multiple,1/2,upper_ci,104.90,0.10,对应（原文中间量经舍入）
multiple,1/4,mean_recovery,102.75,0.10,对应（原文中间量经舍入）
multiple,1/4,lower_ci,96.17,0.10,对应（原文中间量经舍入）
multiple,1/4,upper_ci,109.33,0.10,对应（原文中间量经舍入）
multiple,1/10,mean_recovery,101.82,0.10,对应（原文中间量经舍入）
multiple,1/10,lower_ci,91.58,0.10,对应（原文中间量经舍入）
multiple,1/10,upper_ci,112.06,0.10,对应（原文中间量经舍入）
multiple,1/20,mean_recovery,99.76,0.10,对应（原文中间量经舍入）
multiple,1/20,lower_ci,88.76,0.10,对应（原文中间量经舍入）
multiple,1/20,upper_ci,110.77,0.10,对应（原文中间量经舍入）
spike_table3,1,recovery,90.7,0.10,对应（原文按一位小数）
spike_table3,2,recovery,88.0,0.10,对应（原文按一位小数）
spike_table3,3,recovery,93.4,0.10,对应（原文按一位小数）
spike_table3,all,mean_recovery,90.7,0.10,对应（原文按一位小数）
spike_table4,0,computed_concentration,100,0.005,对应
spike_table4,0,recovery,94,0.50,对应（原文按整数）
spike_table4,10,computed_concentration,109,0.005,对应
spike_table4,10,recovery,91,0.50,对应（原文按整数）
spike_table4,100,computed_concentration,190,0.005,对应
spike_table4,100,recovery,95,0.50,对应（原文按整数）
spike_table4,1000,computed_concentration,1000,0.005,对应
spike_table4,1000,recovery,92,0.50,对应（原文按整数）
spike_table4,10000,computed_concentration,9100,0.005,对应
spike_table4,10000,recovery,99,0.50,对应（原文按整数）
manual_validation,1,mean,6.66,0.006,对应（原文按两位小数）
manual_validation,1,corrected_concentration,133.13,0.006,对应（原文按两位小数）
manual_validation,1,recovery,95.3,0.05,对应（原文按一位小数）
