dataset,sample,comparative,candidate
D1,1,20.379,22.331
D1,2,34.751,49.751
D1,3,60.277,69.165
D1,4,83.777,93.426
D1,5,106.269,107.723
D1,6,116.743,129.249
D1,7,146.795,140.653
D1,8,161.256,164.652
D1,9,178.083,185.256
D1,10,191.946,215.370
D1,11,217.536,226.060
D1,12,235.636,251.961
D1,13,259.064,266.115
D1,14,261.709,272.312
D1,15,287.760,313.284
D1,16,326.337,329.828
D1,17,347.114,351.629
D1,18,351.462,364.261
D1,19,375.992,387.253
D1,20,403.530,415.137
D1,21,419.455,428.058
D1,22,439.121,445.067
D1,23,462.059,464.932
D1,24,472.317,474.433
D1,25,504.759,511.372
D1,26,520.683,526.851
D1,27,534.388,549.849
D1,28,564.996,567.208
D1,29,590.481,577.021
D1,30,599.080,602.060
D1,31,623.936,622.545
D1,32,649.103,646.031
D1,33,657.008,666.813
D1,34,680.382,689.887
D1,35,696.740,694.387
D1,36,704.163,717.294
D1,37,734.406,749.166
D1,38,755.933,765.697
D1,39,768.454,781.376
D1,40,801.763,810.653
D2,1,0.881,1.078
D2,2,2.872,3.575
D2,3,4.975,6.431
D2,4,8.351,7.961
D2,5,9.753,11.666
D2,6,14.450,12.362
D2,7,18.552,14.992
D2,8,21.520,21.581
D2,9,23.481,25.084
D2,10,26.710,28.909
D2,11,33.259,40.577
D2,12,45.907,40.702
D2,13,36.180,43.981
D2,14,49.853,57.015
D2,15,46.330,61.638
D2,16,54.798,69.268
D2,17,78.002,69.833
D2,18,85.464,88.143
D2,19,100.030,98.011
D2,20,97.877,119.859
D2,21,108.408,126.106
D2,22,148.179,155.735
D2,23,153.802,164.340
D2,24,159.521,199.267
D2,25,198.730,182.707
D2,26,203.215,213.992
D2,27,215.483,193.963
D2,28,227.755,263.157
D2,29,233.649,308.018
D2,30,298.821,330.309
D2,31,276.827,306.107
D2,32,362.759,397.674
D2,33,439.989,452.057
D2,34,434.477,422.399
D2,35,572.399,466.581
D2,36,689.940,484.590
D2,37,538.316,660.415
D2,38,612.061,801.227
D2,39,734.508,747.958
D2,40,785.566,704.414
D3,1,0.998,1.271
D3,2,1.851,1.664
D3,3,2.564,2.858
D3,4,2.786,3.046
D3,5,3.508,3.905
D3,6,4.613,5.378
D3,7,6.254,5.584
D3,8,6.456,6.774
D3,9,7.772,6.497
D3,10,7.427,7.593
D3,11,8.013,8.978
D3,12,9.964,8.305
D3,13,10.498,11.172
D3,14,10.104,13.164
D3,15,12.476,11.694
D3,16,15.932,12.349
D3,17,14.889,14.752
D3,18,16.681,18.071
D3,19,16.600,18.433
D3,20,16.921,19.093
D3,21,17.682,19.790
D3,22,17.976,20.930
D3,23,20.654,23.438
D3,24,19.805,24.340
D3,25,25.907,20.946
D3,26,27.394,29.873
D3,27,27.928,30.175
D3,28,32.294,33.176
D3,29,31.654,34.473
D3,30,37.321,34.472
D3,31,38.867,39.258
D3,32,34.828,43.839
D3,33,43.114,38.103
D3,34,40.274,45.428
D3,35,75.226,68.413
D3,36,109.740,141.146
D3,37,166.803,166.030
D3,38,178.471,227.842
D3,39,379.574,479.814
D3,40,893.271,734.152
D4,1,0.881,1.078
D4,2,2.872,3.575
D4,3,4.975,6.125
D4,4,8.351,7.961
D4,5,9.753,11.666
D4,6,14.450,12.362
D4,7,18.552,14.992
D4,8,21.520,21.581
D4,9,23.481,25.084
D4,10,26.710,28.909
D4,11,33.259,40.577
D4,12,45.907,40.702
D4,13,36.180,43.981
D4,14,49.853,635.000
D4,15,46.330,61.638
D4,16,54.798,69.268
D4,17,78.002,69.833
D4,18,85.464,88.143
D4,19,100.030,98.011
D4,20,97.877,119.859
D4,21,108.408,126.106
D4,22,148.179,155.735
D4,23,153.802,164.340
D4,24,159.521,199.267
D4,25,198.730,182.707
D4,26,203.215,213.992
D4,27,215.483,193.963
D4,28,227.755,263.157
D4,29,233.649,308.018
