"id","x","y"
1,0.52,0.49
2,0.99,0.97
3,1.49,0.66
4,1.99,1.87
5,2.52,2.56
6,3.2,2.91
7,3.37,3.53
8,3.95,3.96
9,4.85,4.51
10,4.96,5.46
11,5.33,5.85
12,6,5.98
13,7.02,6.62
14,7.15,6.92
15,7.76,7.47
16,7.71,7.56
17,8.59,8.08
18,9.87,8.94
19,8.75,9.34
20,10.48,9.81
21,10.16,9.78
22,11.17,10.91
23,11.83,11.13
24,11.79,12.17
25,12.29,12.63
26,11.39,12.96
27,13.67,14.93
28,12.93,12.91
29,12.83,15.35
30,16.78,14.71
31,14.72,15.92
32,16.53,15.32
33,17.17,17.04
34,16.82,15.68
35,18.39,18.17
36,17.68,17.38
37,19.3,18.82
38,19.53,20.98
39,19.77,18.42
40,20.48,18.77
41,21.08,20.34
42,21.31,21.37
43,21.64,21.21
44,20.52,24.33
45,24.3,23.68
46,21.3,21.72
47,24.13,23.59
48,23.99,24.19
49,22.19,24.19
50,23.83,23.75
51,27.13,24.42
52,25.72,27.72
53,24.45,24.17
54,26.39,27.65
55,28.76,28.12
56,26.37,29.74
57,27.63,28.28
58,28.78,27.89
59,27.74,29.19
60,32.59,29.34
61,31.48,32
62,30.31,31.99
63,32.3,30.5
64,33.11,32.73
65,31.33,32.76
66,31.45,31.62
67,31.37,32.35
68,33.54,33.46
69,32.74,32.71
70,33.21,36.07
71,32.57,32.26
72,35.85,37.9
73,37.04,34.18
74,35.23,36.43
75,34.54,42.28
76,35.45,35.52
77,39.35,37.29
78,40.13,39.27
79,37.98,41.93
80,41.87,42.29
81,41.14,42.46
82,43.39,37.68
83,38.93,39.71
84,43.28,42.52
85,42.48,46.82
86,42.55,44.16
87,45.17,39.29
88,44.18,45.78
89,45.12,41.71
90,40.93,46.03
91,48.8,46.89
92,49.47,43.86
93,45.21,47.88
94,48.44,46.26
95,45.07,43.64
96,43.72,47.45
97,49.74,52.83
98,47.59,54.06
99,48.61,54.09
100,53.08,49.53
