"sample","replicate","result","assigned","expanded_uncertainty","k"
"GBW09193",1,1.53,1.49,0.04,2
"GBW09193",2,1.54,1.49,0.04,2
"GBW09193",3,1.51,1.49,0.04,2
"GBW09193",4,1.55,1.49,0.04,2
"GBW09193",5,1.51,1.49,0.04,2
"GBW09193",6,1.52,1.49,0.04,2
"GBW09193",7,1.51,1.49,0.04,2
"GBW09193",8,1.54,1.49,0.04,2
"GBW09193",9,1.55,1.49,0.04,2
"GBW09193",10,1.52,1.49,0.04,2
"GBW09195",1,1.05,1.02,0.04,2
"GBW09195",2,1.06,1.02,0.04,2
"GBW09195",3,1.03,1.02,0.04,2
"GBW09195",4,1.07,1.02,0.04,2
"GBW09195",5,1.04,1.02,0.04,2
"GBW09195",6,1.04,1.02,0.04,2
"GBW09195",7,1.04,1.02,0.04,2
"GBW09195",8,1.06,1.02,0.04,2
"GBW09195",9,1.07,1.02,0.04,2
"GBW09195",10,1.04,1.02,0.04,2
