"operator","day","run","rep","value"
"O1","1","1","1",94.7
"O1","1","1","2",95.98
"O1","1","2","1",104.93
"O1","1","2","2",98.4
"O1","2","1","1",101.38
"O1","2","1","2",98.86
"O1","2","2","1",96.93
"O1","2","2","2",96.94
"O1","3","1","1",101.51
"O1","3","1","2",99.91
"O1","3","2","1",99.7
"O1","3","2","2",102.01
"O1","4","1","1",99.07
"O1","4","1","2",96.79
"O1","4","2","1",98.4
"O1","4","2","2",102.22
"O2","1","1","1",102.73
"O2","1","1","2",104.94
"O2","1","2","1",105.85
"O2","1","2","2",108.1
"O2","2","1","1",101.26
"O2","2","1","2",99.86
"O2","2","2","1",100.56
"O2","2","2","2",97.63
"O2","3","1","1",102.7
"O2","3","1","2",99.6
"O2","3","2","1",100.34
"O2","3","2","2",96.04
"O2","4","1","1",108.89
"O2","4","1","2",103.67
"O2","4","2","1",112.53
"O2","4","2","2",111.63
"O3","1","1","1",96.63
"O3","1","1","2",96.62
"O3","1","2","1",101.62
"O3","1","2","2",98.97
"O3","2","1","1",104.06
"O3","2","1","2",100.85
"O3","2","2","1",104.23
"O3","2","2","2",110.29
"O3","3","1","1",101.26
"O3","3","1","2",101.01
"O3","3","2","1",105.17
"O3","3","2","2",102.74
"O3","4","1","1",106.21
"O3","4","1","2",94.74
"O3","4","2","1",102.09
"O3","4","2","2",106.54
