"day","run","rep","value"
1,1,1,96.94
1,1,2,93.48
1,2,1,99.28
1,2,2,101.54
2,1,1,102.96
2,1,2,102.85
2,2,1,94.84
2,2,2,97.35
3,1,1,99.43
3,1,2,99.38
3,2,1,95.51
3,2,2,95.84
4,1,1,106.4
4,1,2,102.71
4,2,1,95.14
4,2,2,97.48
5,1,1,104.33
5,1,2,99.59
5,2,1,103.96
5,2,2,103.39
6,1,1,115.01
6,1,2,112.78
6,2,1,105.45
6,2,2,105.35
7,1,1,101.94
7,1,2,108.54
7,2,1,94.82
7,2,2,98.85
8,1,1,106.37
8,1,2,108.85
8,2,1,100.52
8,2,2,96.44
9,1,1,104.17
9,1,2,103.1
9,2,1,109.11
9,2,2,105.89
10,1,1,90.86
10,1,2,96.29
10,2,1,102.17
10,2,2,98.23
11,1,1,105.37
11,1,2,102.79
11,2,1,112.07
11,2,2,109.18
12,1,1,88.99
12,1,2,86.06
12,2,1,94.45
12,2,2,87.64
13,1,1,101.32
13,1,2,107.78
13,2,1,107.05
13,2,2,108.61
14,1,1,94.47
14,1,2,99.75
14,2,1,92.15
14,2,2,87.53
15,1,1,95.76
15,1,2,95.17
15,2,1,91.11
15,2,2,95.82
16,1,1,92.45
16,1,2,92.12
16,2,1,91.88
16,2,2,96.33
17,1,1,99.37
17,1,2,95.75
17,2,1,87.9
17,2,2,89.27
18,1,1,108.28
18,1,2,99.56
18,2,1,93.74
18,2,2,96.82
19,1,1,96.14
19,1,2,91.75
19,2,1,103.29
19,2,2,94.97
20,1,1,99.79
20,1,2,100.1
20,2,1,92.51
20,2,2,86.9
