"site","sample","day","run","rep","value"
"A","S1",1,1,1,49.24
"A","S1",1,1,2,52.31
"A","S1",1,1,3,48.75
"A","S1",1,1,4,49.39
"A","S1",1,1,5,51.54
"A","S1",1,2,1,51.69
"A","S1",1,2,2,46.88
"A","S1",1,2,3,48.73
"A","S1",1,2,4,47.94
"A","S1",1,2,5,48.14
"A","S1",1,3,1,48.82
"A","S1",1,3,2,47.28
"A","S1",1,3,3,49.56
"A","S1",1,3,4,49.63
"A","S1",1,3,5,50.54
"A","S1",2,1,1,48.71
"A","S1",2,1,2,47.96
"A","S1",2,1,3,48.8
"A","S1",2,1,4,47.98
"A","S1",2,1,5,49.66
"A","S1",2,2,1,47.96
"A","S1",2,2,2,51.49
"A","S1",2,2,3,50.93
"A","S1",2,2,4,50.16
"A","S1",2,2,5,46.47
"A","S1",2,3,1,50.02
"A","S1",2,3,2,49.2
"A","S1",2,3,3,47.64
"A","S1",2,3,4,50.05
"A","S1",2,3,5,48.49
"A","S1",3,1,1,52.16
"A","S1",3,1,2,51.87
"A","S1",3,1,3,50.84
"A","S1",3,1,4,48.48
"A","S1",3,1,5,49.89
"A","S1",3,2,1,48.23
"A","S1",3,2,2,47.53
"A","S1",3,2,3,48.81
"A","S1",3,2,4,48.98
"A","S1",3,2,5,51.37
"A","S1",3,3,1,50.83
"A","S1",3,3,2,46.55
"A","S1",3,3,3,49.92
"A","S1",3,3,4,48.27
"A","S1",3,3,5,48.29
"A","S2",1,1,1,102.11
"A","S2",1,1,2,100.55
"A","S2",1,1,3,102.49
"A","S2",1,1,4,97.93
"A","S2",1,1,5,101.82
"A","S2",1,2,1,102.86
"A","S2",1,2,2,103.24
"A","S2",1,2,3,99.68
"A","S2",1,2,4,98.25
"A","S2",1,2,5,99.76
"A","S2",1,3,1,101.52
"A","S2",1,3,2,105.84
"A","S2",1,3,3,100.85
"A","S2",1,3,4,108.47
"A","S2",1,3,5,100.38
"A","S2",2,1,1,97.95
"A","S2",2,1,2,102.16
"A","S2",2,1,3,102.1
"A","S2",2,1,4,100.97
"A","S2",2,1,5,105.85
"A","S2",2,2,1,102
"A","S2",2,2,2,104.41
"A","S2",2,2,3,100.98
"A","S2",2,2,4,106.12
"A","S2",2,2,5,97.74
"A","S2",2,3,1,103.49
"A","S2",2,3,2,99.17
"A","S2",2,3,3,105.24
"A","S2",2,3,4,103.49
"A","S2",2,3,5,105.75
"A","S2",3,1,1,97.93
"A","S2",3,1,2,102.98
"A","S2",3,1,3,100.16
"A","S2",3,1,4,98.96
"A","S2",3,1,5,96.07
"A","S2",3,2,1,101.61
"A","S2",3,2,2,99.59
"A","S2",3,2,3,104.34
"A","S2",3,2,4,104.45
