"day","run","replicate","result","unit"
1,1,1,242,"mg/dL"
1,1,2,246,"mg/dL"
1,2,1,245,"mg/dL"
1,2,2,246,"mg/dL"
2,1,1,243,"mg/dL"
2,1,2,242,"mg/dL"
2,2,1,238,"mg/dL"
2,2,2,238,"mg/dL"
3,1,1,247,"mg/dL"
3,1,2,239,"mg/dL"
3,2,1,241,"mg/dL"
3,2,2,240,"mg/dL"
4,1,1,249,"mg/dL"
4,1,2,241,"mg/dL"
4,2,1,250,"mg/dL"
4,2,2,245,"mg/dL"
5,1,1,246,"mg/dL"
5,1,2,242,"mg/dL"
5,2,1,243,"mg/dL"
5,2,2,240,"mg/dL"
6,1,1,244,"mg/dL"
6,1,2,245,"mg/dL"
6,2,1,251,"mg/dL"
6,2,2,247,"mg/dL"
7,1,1,241,"mg/dL"
7,1,2,246,"mg/dL"
7,2,1,245,"mg/dL"
7,2,2,247,"mg/dL"
8,1,1,245,"mg/dL"
8,1,2,245,"mg/dL"
8,2,1,243,"mg/dL"
8,2,2,245,"mg/dL"
9,1,1,243,"mg/dL"
9,1,2,239,"mg/dL"
9,2,1,244,"mg/dL"
9,2,2,245,"mg/dL"
10,1,1,244,"mg/dL"
10,1,2,246,"mg/dL"
10,2,1,247,"mg/dL"
10,2,2,239,"mg/dL"
11,1,1,252,"mg/dL"
11,1,2,251,"mg/dL"
11,2,1,247,"mg/dL"
11,2,2,241,"mg/dL"
12,1,1,249,"mg/dL"
12,1,2,248,"mg/dL"
12,2,1,251,"mg/dL"
12,2,2,246,"mg/dL"
13,1,1,242,"mg/dL"
13,1,2,240,"mg/dL"
13,2,1,251,"mg/dL"
13,2,2,245,"mg/dL"
14,1,1,246,"mg/dL"
14,1,2,249,"mg/dL"
14,2,1,248,"mg/dL"
14,2,2,240,"mg/dL"
15,1,1,247,"mg/dL"
15,1,2,248,"mg/dL"
15,2,1,245,"mg/dL"
15,2,2,246,"mg/dL"
16,1,1,240,"mg/dL"
16,1,2,238,"mg/dL"
16,2,1,239,"mg/dL"
16,2,2,242,"mg/dL"
17,1,1,241,"mg/dL"
17,1,2,244,"mg/dL"
17,2,1,245,"mg/dL"
17,2,2,248,"mg/dL"
18,1,1,244,"mg/dL"
18,1,2,244,"mg/dL"
18,2,1,237,"mg/dL"
18,2,2,242,"mg/dL"
19,1,1,241,"mg/dL"
19,1,2,239,"mg/dL"
19,2,1,247,"mg/dL"
19,2,2,245,"mg/dL"
20,1,1,247,"mg/dL"
20,1,2,240,"mg/dL"
20,2,1,245,"mg/dL"
20,2,2,242,"mg/dL"
