"sample","site","day","replicate","result","unit"
"P1",1,1,1,12.5,"kU/L"
"P1",2,1,1,12.8,"kU/L"
"P1",3,1,1,12.2,"kU/L"
"Q3",1,1,1,59.0,"kU/L"
"Q3",2,1,1,53.9,"kU/L"
"Q3",3,1,1,58.4,"kU/L"
"P5",1,1,1,386.6,"kU/L"
"P5",2,1,1,380.0,"kU/L"
"P5",3,1,1,390.3,"kU/L"
"P1",1,1,2,11.8,"kU/L"
"P1",2,1,2,12.8,"kU/L"
"P1",3,1,2,11.7,"kU/L"
"Q3",1,1,2,57.7,"kU/L"
"Q3",2,1,2,55.1,"kU/L"
"Q3",3,1,2,57.9,"kU/L"
"P5",1,1,2,393.9,"kU/L"
"P5",2,1,2,382.5,"kU/L"
"P5",3,1,2,393.4,"kU/L"
"P1",1,1,3,11.6,"kU/L"
"P1",2,1,3,12.7,"kU/L"
"P1",3,1,3,11.6,"kU/L"
"Q3",1,1,3,58.1,"kU/L"
"Q3",2,1,3,54.9,"kU/L"
"Q3",3,1,3,57.2,"kU/L"
"P5",1,1,3,392.8,"kU/L"
"P5",2,1,3,368.5,"kU/L"
"P5",3,1,3,388.1,"kU/L"
"P1",1,1,4,11.6,"kU/L"
"P1",2,1,4,13.2,"kU/L"
"P1",3,1,4,11.9,"kU/L"
"Q3",1,1,4,56.3,"kU/L"
"Q3",2,1,4,53.7,"kU/L"
"Q3",3,1,4,56.4,"kU/L"
"P5",1,1,4,383.3,"kU/L"
"P5",2,1,4,379.7,"kU/L"
"P5",3,1,4,386.2,"kU/L"
"P1",1,1,5,11.7,"kU/L"
"P1",2,1,5,11.1,"kU/L"
"P1",3,1,5,11.6,"kU/L"
"Q3",1,1,5,55.6,"kU/L"
"Q3",2,1,5,51.3,"kU/L"
"Q3",3,1,5,56.1,"kU/L"
"P5",1,1,5,388.0,"kU/L"
"P5",2,1,5,361.7,"kU/L"
"P5",3,1,5,378.1,"kU/L"
"P1",1,2,1,12.2,"kU/L"
"P1",2,2,1,11.4,"kU/L"
"P1",3,2,1,12.0,"kU/L"
"Q3",1,2,1,56.5,"kU/L"
"Q3",2,2,1,52.7,"kU/L"
"Q3",3,2,1,56.4,"kU/L"
"P5",1,2,1,389.0,"kU/L"
"P5",2,2,1,366.8,"kU/L"
"P5",3,2,1,391.7,"kU/L"
"P1",1,2,2,11.8,"kU/L"
"P1",2,2,2,10.7,"kU/L"
"P1",3,2,2,11.7,"kU/L"
"Q3",1,2,2,56.3,"kU/L"
"Q3",2,2,2,54.4,"kU/L"
"Q3",3,2,2,57.4,"kU/L"
"P5",1,2,2,394.3,"kU/L"
"P5",2,2,2,371.7,"kU/L"
"P5",3,2,2,384.3,"kU/L"
"P1",1,2,3,11.6,"kU/L"
