"sample","statistic","calculated","standard","tolerance","difference","status"
"P1","mean",12.081333,12.1,0.05,-0.018667,"对应"
"P2","mean",41.584000,41.6,0.05,-0.016000,"对应"
"Q3","mean",55.746667,55.7,0.05,0.046667,"对应"
"Q4","mean",165.656000,166,0.5,-0.344000,"对应"
"P5","mean",379.090667,379,0.5,0.090667,"对应"
"Q6","mean",414.286667,414,0.5,0.286667,"对应"
"P1","SD_R",0.724431,0.724,0.0005,0.000431,"对应"
"P2","SD_R",1.278593,1.28,0.005,-0.001407,"对应"
"Q3","SD_R",1.248973,1.25,0.005,-0.001027,"对应"
"Q4","SD_R",2.795139,2.8,0.005,-0.004861,"对应"
"P5","SD_R",7.547641,7.55,0.005,-0.002359,"对应"
"Q6","SD_R",8.599942,8.6,0.005,-0.000058,"对应"
"P1","SD_WL",,0.838,,,"当前report入口未返回"
"P2","SD_WL",,1.33,,,"当前report入口未返回"
"Q3","SD_WL",,1.44,,,"当前report入口未返回"
"Q4","SD_WL",,3.11,,,"当前report入口未返回"
"P5","SD_WL",,7.76,,,"当前report入口未返回"
"Q6","SD_WL",,8.77,,,"当前report入口未返回"
"P1","SD_REP",1.042528,1.04,0.005,0.002528,"对应"
"P2","SD_REP",1.837620,1.84,0.005,-0.002380,"对应"
"Q3","SD_REP",2.292879,2.29,0.005,0.002879,"对应"
"Q4","SD_REP",6.304969,6.3,0.005,0.004969,"对应"
"P5","SD_REP",9.222792,9.22,0.005,0.002792,"对应"
"Q6","SD_REP",15.527060,15.5,0.05,0.027060,"对应"
"P1","CV_R",5.996300,6,0.05,-0.003700,"对应"
"P2","CV_R",3.074700,3.1,0.05,-0.025300,"对应"
"Q3","CV_R",2.240400,2.2,0.05,0.040400,"对应"
"Q4","CV_R",1.687300,1.7,0.05,-0.012700,"对应"
"P5","CV_R",1.991000,2,0.05,-0.009000,"对应"
"Q6","CV_R",2.075800,2.1,0.05,-0.024200,"对应"
"P1","CV_WL",,6.9,,,"当前report入口未返回"
"P2","CV_WL",,3.2,,,"当前report入口未返回"
"Q3","CV_WL",,2.6,,,"当前report入口未返回"
"Q4","CV_WL",,1.9,,,"当前report入口未返回"
"P5","CV_WL",,2,,,"当前report入口未返回"
"Q6","CV_WL",,2.1,,,"当前report入口未返回"
"P1","CV_REP",8.629000,8.6,0.05,0.029000,"对应"
"P2","CV_REP",4.419000,4.4,0.05,0.019000,"对应"
"Q3","CV_REP",4.113000,4.1,0.05,0.013000,"对应"
"Q4","CV_REP",3.806000,3.8,0.05,0.006000,"对应"
"P5","CV_REP",2.433000,2.4,0.05,0.033000,"对应"
"Q6","CV_REP",3.748000,3.7,0.05,0.048000,"对应"
