case,statistic,calculated,standard,tolerance,status,note
ferritin_sample1,mean,25.5125,25.5,0.05,corresponding,outlier 30.2 excluded
ferritin_sample1,between_ms,2.085063,2.0851,0.00005,corresponding,
ferritin_sample1,within_ms,0.741368,0.74137,0.000005,corresponding,
ferritin_sample1,between_variance,0.280521,0.28052,0.000005,corresponding,
ferritin_sample1,repeatability_sd,0.861028,0.86,0.005,corresponding,
ferritin_sample1,within_lab_sd,1.010885,1.01,0.005,corresponding,
ferritin_sample2,mean,140.12,140.1,0.05,corresponding,
ferritin_sample2,between_ms,15.86,15.86,0.005,corresponding,
ferritin_sample2,within_ms,3.16,3.16,0.005,corresponding,
ferritin_sample2,between_variance,2.54,2.54,0.005,corresponding,
ferritin_sample2,repeatability_sd,1.777639,1.78,0.005,corresponding,
ferritin_sample2,within_lab_sd,2.387467,2.40,0.005,rounding_difference,standard rounds variance components
ferritin_sample3,mean,622.88,623,0.5,corresponding,
ferritin_sample3,between_ms,626.56,626.56,0.005,corresponding,
ferritin_sample3,within_ms,113.52,113.52,0.005,corresponding,
ferritin_sample3,between_variance,102.608,102.61,0.005,corresponding,
ferritin_sample3,repeatability_sd,10.65458,10.7,0.05,corresponding,
ferritin_sample3,within_lab_sd,14.70129,14.7,0.05,corresponding,
albumin_2A,mean_se,0.196638,0.20,0.005,corresponding,
albumin_2A,combined_se,0.631348,0.63,0.005,corresponding,
albumin_2A,bias,1.3,1.3,0.05,corresponding,
albumin_2A,lower,35.9626,36.0,0.05,corresponding,
albumin_2A,upper,38.4374,38.4,0.05,corresponding,
albumin_2B,mean_se,0.166667,0.17,0.005,corresponding,
albumin_2B,combined_se,0.622718,0.62,0.005,corresponding,
digoxin_3A,mean_se,0.017436,0.0174,0.00005,corresponding,
digoxin_3A,bias,-0.03,-0.03,0.005,corresponding,
digoxin_3A,lower,1.9391,1.94,0.005,corresponding,
digoxin_3A,upper,2.0609,2.06,0.005,corresponding,
digoxin_3B,mean_se,0.008,0.008,0.0005,corresponding,
digoxin_3B,bias,-0.04,-0.04,0.005,corresponding,
digoxin_4,mean_se,0.011886,0.012,0.0005,corresponding,
digoxin_4,bias,-0.06,-0.06,0.005,corresponding,
