day,run,replicate,result
1,1,1,16.42
1,1,2,16.84
1,2,1,17.72
1,2,2,18.34
2,1,1,17.74
2,1,2,17.92
2,2,1,17.68
2,2,2,17.07
3,1,1,17.88
3,1,2,17.42
3,2,1,18.87
3,2,2,18.16
4,1,1,17.20
4,1,2,16.90
4,2,1,18.45
4,2,2,17.98
5,1,1,16.38
5,1,2,16.64
5,2,1,16.48
5,2,2,16.79
6,1,1,17.98
6,1,2,16.25
6,2,1,17.29
6,2,2,16.47
7,1,1,17.74
7,1,2,16.35
7,2,1,16.97
7,2,2,17.44
8,1,1,15.56
8,1,2,15.83
8,2,1,15.12
8,2,2,15.86
9,1,1,17.27
9,1,2,16.55
9,2,1,17.16
9,2,2,18.54
10,1,1,16.76
10,1,2,16.87
10,2,1,17.84
10,2,2,17.15
11,1,1,17.56
11,1,2,16.93
11,2,1,17.37
11,2,2,17.73
12,1,1,18.22
12,1,2,17.37
12,2,1,17.58
12,2,2,17.96
13,1,1,17.69
13,1,2,17.50
13,2,1,17.09
13,2,2,16.69
14,1,1,17.71
14,1,2,16.78
14,2,1,16.18
14,2,2,17.39
15,1,1,17.03
15,1,2,16.52
15,2,1,17.56
15,2,2,17.16
16,1,1,16.97
16,1,2,17.73
16,2,1,18.00
16,2,2,17.40
17,1,1,17.34
17,1,2,17.74
17,2,1,17.60
17,2,2,17.32
18,1,1,17.89
18,1,2,16.67
18,2,1,18.24
18,2,2,17.51
19,1,1,17.41
19,1,2,17.62
19,2,1,17.36
19,2,2,17.85
20,1,1,17.69
20,1,2,17.24
20,2,1,17.59
20,2,2,18.11
