level,relative_concentration,expected,replicate,result,unit,variance_group
1,1,529,1,525,U/L,high
1,1,529,2,533,U/L,high
2,0.9,476.1,1,483.3,U/L,high
2,0.9,476.1,2,510,U/L,high
3,0.8,423.20000000000005,1,453.8,U/L,high
3,0.8,423.20000000000005,2,482.6,U/L,high
4,0.7,370.29999999999995,1,383.5,U/L,middle
4,0.7,370.29999999999995,2,399.4,U/L,middle
5,0.6,317.4,1,346.7,U/L,middle
5,0.6,317.4,2,353.6,U/L,middle
6,0.5,264.5,1,287.6,U/L,middle
6,0.5,264.5,2,296.5,U/L,middle
7,0.4,211.60000000000002,1,229.2,U/L,middle
7,0.4,211.60000000000002,2,237.1,U/L,middle
8,0.3,158.7,1,171.7,U/L,low
8,0.3,158.7,2,172.2,U/L,low
9,0.2,105.80000000000001,1,110,U/L,low
9,0.2,105.80000000000001,2,112.6,U/L,low
10,0.1,52.900000000000006,1,51,U/L,low
10,0.1,52.900000000000006,2,51.5,U/L,low
