panel,level,sample_id,relative_concentration,expected,replicate,result,unit
HIGH1,1,HIGH1_1,1,1009.2,1,984.5,U/L
HIGH1,1,HIGH1_1,1,1009.2,2,950.5,U/L
HIGH1,1,HIGH1_1,1,1009.2,3,1017.5,U/L
HIGH1,1,HIGH1_1,1,1009.2,4,1039,U/L
HIGH1,1,HIGH1_1,1,1009.2,5,1054.5,U/L
HIGH1,2,HIGH1_2,0.9,908.2800000000001,1,916.5,U/L
HIGH1,2,HIGH1_2,0.9,908.2800000000001,2,947,U/L
HIGH1,2,HIGH1_2,0.9,908.2800000000001,3,846,U/L
HIGH1,2,HIGH1_2,0.9,908.2800000000001,4,856,U/L
HIGH1,2,HIGH1_2,0.9,908.2800000000001,5,864,U/L
HIGH1,3,HIGH1_3,0.8,807.3600000000001,1,744,U/L
HIGH1,3,HIGH1_3,0.8,807.3600000000001,2,737,U/L
HIGH1,3,HIGH1_3,0.8,807.3600000000001,3,793,U/L
HIGH1,3,HIGH1_3,0.8,807.3600000000001,4,801,U/L
HIGH1,3,HIGH1_3,0.8,807.3600000000001,5,780.5,U/L
HIGH1,4,HIGH1_4,0.7,706.4399999999999,1,718,U/L
HIGH1,4,HIGH1_4,0.7,706.4399999999999,2,687.5,U/L
HIGH1,4,HIGH1_4,0.7,706.4399999999999,3,701,U/L
HIGH1,4,HIGH1_4,0.7,706.4399999999999,4,676,U/L
HIGH1,4,HIGH1_4,0.7,706.4399999999999,5,654,U/L
HIGH1,5,HIGH1_5,0.6,605.52,1,572,U/L
HIGH1,5,HIGH1_5,0.6,605.52,2,561.5,U/L
HIGH1,5,HIGH1_5,0.6,605.52,3,609,U/L
HIGH1,5,HIGH1_5,0.6,605.52,4,557.5,U/L
HIGH1,5,HIGH1_5,0.6,605.52,5,579,U/L
HIGH1,6,HIGH1_6,0.5,504.6,1,493,U/L
HIGH1,6,HIGH1_6,0.5,504.6,2,534,U/L
HIGH1,6,HIGH1_6,0.5,504.6,3,453,U/L
HIGH1,6,HIGH1_6,0.5,504.6,4,504,U/L
HIGH1,6,HIGH1_6,0.5,504.6,5,472,U/L
HIGH1,7,HIGH1_7,0.4,403.68000000000006,1,369,U/L
HIGH1,7,HIGH1_7,0.4,403.68000000000006,2,388,U/L
HIGH1,7,HIGH1_7,0.4,403.68000000000006,3,357,U/L
HIGH1,7,HIGH1_7,0.4,403.68000000000006,4,404,U/L
HIGH1,7,HIGH1_7,0.4,403.68000000000006,5,356,U/L
HIGH1,8,HIGH1_8,0.3,302.76,1,302,U/L
HIGH1,8,HIGH1_8,0.3,302.76,2,261,U/L
HIGH1,8,HIGH1_8,0.3,302.76,3,278,U/L
HIGH1,8,HIGH1_8,0.3,302.76,4,281.5,U/L
HIGH1,8,HIGH1_8,0.3,302.76,5,249,U/L
HIGH1,9,HIGH1_9,0.2,201.84000000000003,1,157,U/L
HIGH1,9,HIGH1_9,0.2,201.84000000000003,2,173,U/L
HIGH1,9,HIGH1_9,0.2,201.84000000000003,3,161.5,U/L
HIGH1,9,HIGH1_9,0.2,201.84000000000003,4,183.5,U/L
HIGH1,9,HIGH1_9,0.2,201.84000000000003,5,161,U/L
HIGH1,10,HIGH1_10,0.1,100.92000000000002,1,93.5,U/L
HIGH1,10,HIGH1_10,0.1,100.92000000000002,2,81,U/L
HIGH1,10,HIGH1_10,0.1,100.92000000000002,3,88.5,U/L
HIGH1,10,HIGH1_10,0.1,100.92000000000002,4,96.5,U/L
HIGH1,10,HIGH1_10,0.1,100.92000000000002,5,95,U/L
HIGH2,1,HIGH2_1,1,151.8,1,147,U/L
HIGH2,1,HIGH2_1,1,151.8,2,150,U/L
HIGH2,1,HIGH2_1,1,151.8,3,163,U/L
HIGH2,1,HIGH2_1,1,151.8,4,148,U/L
HIGH2,1,HIGH2_1,1,151.8,5,151,U/L
HIGH2,2,HIGH2_2,0.9,136.62,1,145,U/L
HIGH2,2,HIGH2_2,0.9,136.62,2,142,U/L
HIGH2,2,HIGH2_2,0.9,136.62,3,130,U/L
HIGH2,2,HIGH2_2,0.9,136.62,4,131,U/L
HIGH2,2,HIGH2_2,0.9,136.62,5,124,U/L
HIGH2,3,HIGH2_3,0.8,121.44000000000001,1,118,U/L
HIGH2,3,HIGH2_3,0.8,121.44000000000001,2,114,U/L
HIGH2,3,HIGH2_3,0.8,121.44000000000001,3,123,U/L
HIGH2,3,HIGH2_3,0.8,121.44000000000001,4,115,U/L
HIGH2,3,HIGH2_3,0.8,121.44000000000001,5,118,U/L
HIGH2,4,HIGH2_4,0.7,106.26,1,119,U/L
HIGH2,4,HIGH2_4,0.7,106.26,2,104,U/L
HIGH2,4,HIGH2_4,0.7,106.26,3,101,U/L
HIGH2,4,HIGH2_4,0.7,106.26,4,104,U/L
HIGH2,4,HIGH2_4,0.7,106.26,5,99,U/L
HIGH2,5,HIGH2_5,0.6,91.08,1,102,U/L
HIGH2,5,HIGH2_5,0.6,91.08,2,90,U/L
HIGH2,5,HIGH2_5,0.6,91.08,3,104,U/L
HIGH2,5,HIGH2_5,0.6,91.08,4,82,U/L
HIGH2,5,HIGH2_5,0.6,91.08,5,94,U/L
HIGH2,6,HIGH2_6,0.5,75.9,1,83,U/L
HIGH2,6,HIGH2_6,0.5,75.9,2,97,U/L
HIGH2,6,HIGH2_6,0.5,75.9,3,72,U/L
HIGH2,6,HIGH2_6,0.5,75.9,4,76,U/L
HIGH2,6,HIGH2_6,0.5,75.9,5,83,U/L
HIGH2,7,HIGH2_7,0.4,60.720000000000006,1,66,U/L
HIGH2,7,HIGH2_7,0.4,60.720000000000006,2,70,U/L
HIGH2,7,HIGH2_7,0.4,60.720000000000006,3,59,U/L
HIGH2,7,HIGH2_7,0.4,60.720000000000006,4,65,U/L
HIGH2,7,HIGH2_7,0.4,60.720000000000006,5,61,U/L
HIGH2,8,HIGH2_8,0.3,45.54,1,57,U/L
HIGH2,8,HIGH2_8,0.3,45.54,2,48,U/L
HIGH2,8,HIGH2_8,0.3,45.54,3,46,U/L
HIGH2,8,HIGH2_8,0.3,45.54,4,52,U/L
HIGH2,8,HIGH2_8,0.3,45.54,5,43,U/L
HIGH2,9,HIGH2_9,0.2,30.360000000000003,1,34,U/L
HIGH2,9,HIGH2_9,0.2,30.360000000000003,2,35,U/L
HIGH2,9,HIGH2_9,0.2,30.360000000000003,3,30,U/L
HIGH2,9,HIGH2_9,0.2,30.360000000000003,4,31,U/L
HIGH2,9,HIGH2_9,0.2,30.360000000000003,5,28,U/L
HIGH2,10,HIGH2_10,0.1,15.180000000000001,1,15,U/L
HIGH2,10,HIGH2_10,0.1,15.180000000000001,2,17,U/L
HIGH2,10,HIGH2_10,0.1,15.180000000000001,3,18,U/L
HIGH2,10,HIGH2_10,0.1,15.180000000000001,4,17,U/L
HIGH2,10,HIGH2_10,0.1,15.180000000000001,5,16,U/L
