"sample","value"
"blank_A",0.024
"blank_A",-0.006
"blank_A",0.055
"blank_A",-0.072
"blank_A",0.057
"blank_A",-0.023
"blank_A",-0.05
"blank_A",0.003
"blank_A",0.051
"blank_A",0.029
"blank_A",0.092
"blank_A",0.006
"blank_A",-0.037
"blank_A",0.083
"blank_A",0.036
"blank_A",-0.083
"blank_A",0.029
"blank_A",0.024
"blank_A",-0.027
"blank_A",0.056
"blank_A",-0.082
"blank_A",-0.016
"blank_A",-0.009
"blank_A",0.074
"blank_A",-0.043
"blank_A",0.076
"blank_A",0.053
"blank_A",0.052
"blank_A",0.042
"blank_A",0.011
"blank_A",-0.034
"blank_A",0.007
"blank_A",-0.004
"blank_A",-0.047
"blank_A",-0.051
"blank_A",0.014
"blank_A",0.027
"blank_A",0.007
"blank_A",0.014
"blank_A",-0.015
"blank_B",-0.066
"blank_B",0.103
"blank_B",0.012
"blank_B",-0.017
"blank_B",-0.032
"blank_B",0.014
"blank_B",0.006
"blank_B",0.028
"blank_B",0.028
"blank_B",-0.005
"blank_B",0.012
"blank_B",0.038
"blank_B",0.043
"blank_B",0.042
"blank_B",-0.088
"blank_B",0.034
"blank_B",0.058
"blank_B",-0.06
"blank_B",0.162
"blank_B",-0.034
"blank_B",-0.061
"blank_B",-0.021
"blank_B",-0.028
"blank_B",-0.074
"blank_B",-0.059
"blank_B",-0.036
"blank_B",-0.034
"blank_B",-0.035
"blank_B",0.044
"blank_B",-0.025
"blank_B",-0.065
"blank_B",-0.006
"blank_B",0.044
"blank_B",0.001
"blank_B",0.039
"blank_B",0.004
"blank_B",-0.101
"blank_B",-0.05
"blank_B",-0.008
"blank_B",0.047
"L1",0.656
"L1",0.609
"L1",0.622
"L1",0.459
"L1",0.487
"L1",0.485
"L1",0.583
"L1",0.488
"L1",0.626
"L1",0.268
"L1",0.436
"L1",0.531
"L1",0.288
"L1",0.556
"L1",0.56
"L1",0.389
"L1",0.565
"L1",0.564
"L1",0.429
"L1",0.646
"L1",0.672
"L1",0.556
"L1",0.763
"L1",0.55
"L1",0.508
"L1",0.424
"L1",0.455
"L1",0.456
"L1",0.734
"L1",0.618
"L2",1.081
"L2",0.988
"L2",0.912
"L2",0.888
"L2",0.918
"L2",0.946
"L2",0.664
"L2",0.875
"L2",1.173
"L2",1.223
"L2",0.963
"L2",0.974
"L2",0.717
"L2",1.157
"L2",0.805
"L2",1.038
"L2",0.961
"L2",1.047
"L2",1.232
"L2",0.969
"L2",1.053
"L2",0.965
"L2",1.044
"L2",0.991
"L2",0.967
"L2",0.806
"L2",0.915
"L2",0.906
"L2",0.965
"L2",0.66
"L3",1.729
"L3",1.573
"L3",2.001
"L3",2.154
"L3",2.077
"L3",1.74
"L3",2.103
"L3",1.992
"L3",2.165
"L3",2.137
"L3",1.79
"L3",1.674
"L3",2.098
"L3",1.888
"L3",1.855
"L3",1.883
"L3",1.974
"L3",1.919
"L3",2.309
"L3",1.862
"L3",2.276
"L3",1.898
"L3",1.744
"L3",2.304
"L3",2.106
"L3",2.432
"L3",1.623
"L3",2.19
"L3",2.077
"L3",2.075
"L4",5.386
"L4",5.938
"L4",5.213
"L4",4.797
"L4",5.13
"L4",4.779
"L4",5.674
"L4",6.422
"L4",3.965
"L4",3.847
"L4",4.475
"L4",5.437
"L4",4.662
"L4",4.455
"L4",5.078
"L4",5.53
"L4",5.815
"L4",5.694
"L4",4.883
"L4",4.515
"L4",4.78
"L4",5.39
"L4",4.758
"L4",5.02
"L4",4.842
"L4",5.402
"L4",4.953
"L4",5.422
"L4",4.691
"L4",5.179
"L5",9.617
"L5",11.225
"L5",9.455
"L5",10.673
"L5",8.39
"L5",10.24
"L5",8.33
"L5",8.595
"L5",10.597
"L5",10.523
"L5",10.731
"L5",9.221
"L5",9.497
"L5",9.804
"L5",11.287
"L5",10.439
"L5",9.181
"L5",11.078
"L5",10.864
"L5",10.29
"L5",10.783
"L5",9.551
"L5",12.325
"L5",11.19
"L5",11.793
"L5",10.482
"L5",9.696
"L5",9.6
"L5",10.36
"L5",9.612
"L6",21.031
"L6",16.603
"L6",18.499
"L6",19.263
"L6",21.953
"L6",21.747
"L6",21.127
"L6",17.661
"L6",23.149
"L6",22.315
"L6",15.396
"L6",21.311
"L6",17.116
"L6",17.421
"L6",20.592
"L6",20.924
"L6",20.628
"L6",19.897
"L6",18.448
"L6",19.252
"L6",19.231
"L6",19.696
"L6",19.541
"L6",18.96
"L6",22.071
"L6",23.289
"L6",18.842
"L6",23.396
"L6",20.453
"L6",16.858
