"lot","sample","result"
"1","Blank 1",2.6
"1","Blank 1",-0.8
"1","Blank 1",5.5
"1","Blank 1",6
"1","Blank 1",4.5
"1","Blank 1",0.6
"1","Blank 1",-2.3
"1","Blank 1",3.4
"1","Blank 1",5.9
"1","Blank 1",7.6
"1","Blank 1",4.1
"1","Blank 1",-1.4
"1","Blank 2",1
"1","Blank 2",2.9
"1","Blank 2",4.9
"1","Blank 2",8
"1","Blank 2",6.9
"1","Blank 2",5
"1","Blank 2",3.4
"1","Blank 2",1.2
"1","Blank 2",6.5
"1","Blank 2",5.6
"1","Blank 2",-2.2
"1","Blank 2",2.3
"1","Blank 3",-4.4
"1","Blank 3",-3.4
"1","Blank 3",7
"1","Blank 3",6.9
"1","Blank 3",4.3
"1","Blank 3",3.2
"1","Blank 3",-1.4
"1","Blank 3",-4.2
"1","Blank 3",5.9
"1","Blank 3",7.6
"1","Blank 3",3.8
"1","Blank 3",5.8
"1","Blank 4",1.5
"1","Blank 4",-1.9
"1","Blank 4",5.1
"1","Blank 4",5.7
"1","Blank 4",4.1
"1","Blank 4",4.5
"1","Blank 4",-0.6
"1","Blank 4",0.5
"1","Blank 4",5.4
"1","Blank 4",7.6
"1","Blank 4",4.4
"1","Blank 4",6.6
"1","Blank 5",1.2
"1","Blank 5",-0.7
"1","Blank 5",6.1
"1","Blank 5",5.1
"1","Blank 5",4.8
"1","Blank 5",3.3
"1","Blank 5",-2.8
"1","Blank 5",-1.4
"1","Blank 5",8.7
"1","Blank 5",3.6
"1","Blank 5",5.1
"1","Blank 5",3.5
"2","Blank 1",4.6
"2","Blank 1",4.1
"2","Blank 1",1.6
"2","Blank 1",3.7
"2","Blank 1",2.2
"2","Blank 1",0.7
"2","Blank 1",4.6
"2","Blank 1",2.6
"2","Blank 1",1.1
"2","Blank 1",-4.4
"2","Blank 1",0.9
"2","Blank 1",0.7
"2","Blank 2",9.2
"2","Blank 2",8.3
"2","Blank 2",4.8
"2","Blank 2",5.4
"2","Blank 2",4.8
"2","Blank 2",6.3
"2","Blank 2",5.4
"2","Blank 2",9.6
"2","Blank 2",7.7
"2","Blank 2",3.1
"2","Blank 2",6.1
"2","Blank 2",10
"2","Blank 3",6.1
"2","Blank 3",3.2
"2","Blank 3",3.9
"2","Blank 3",1.4
"2","Blank 3",3.1
"2","Blank 3",4.1
"2","Blank 3",1
"2","Blank 3",3.4
"2","Blank 3",0.1
"2","Blank 3",0.4
"2","Blank 3",2.9
"2","Blank 3",-1.6
"2","Blank 4",4
"2","Blank 4",11.5
"2","Blank 4",4.5
"2","Blank 4",3.6
"2","Blank 4",4.4
"2","Blank 4",6.8
"2","Blank 4",7.1
"2","Blank 4",4.2
"2","Blank 4",3.7
"2","Blank 4",3.7
"2","Blank 4",5.3
"2","Blank 4",4.5
"2","Blank 5",4
"2","Blank 5",6.2
"2","Blank 5",-0.2
"2","Blank 5",2.3
"2","Blank 5",1.6
"2","Blank 5",2.6
"2","Blank 5",6.4
"2","Blank 5",5.7
"2","Blank 5",4.2
"2","Blank 5",3.7
"2","Blank 5",1.4
"2","Blank 5",1.5
