"lot","sample","concentration","positive","total"
"1","DNA",0.000,0,22
"1","DNA",0.006,11,30
"1","DNA",0.014,15,30
"1","DNA",0.025,23,32
"1","DNA",0.050,29,32
"1","DNA",0.150,32,32
"1","DNA",0.300,32,32
"1","DNA",0.500,32,32
"2","DNA",0.000,0,22
"2","DNA",0.006,12,30
"2","DNA",0.014,22,30
"2","DNA",0.025,28,32
"2","DNA",0.050,32,32
"2","DNA",0.150,32,32
"2","DNA",0.300,32,32
"2","DNA",0.500,32,32
"3","DNA",0.000,0,22
"3","DNA",0.006,22,34
"3","DNA",0.014,31,34
"3","DNA",0.025,27,32
"3","DNA",0.050,32,32
"3","DNA",0.150,32,32
"3","DNA",0.300,32,32
"3","DNA",0.500,32,32
