"lot","sample","mean","sd_wl","cv_percent"
"1","Pool 1",0.040,0.016,40.2
"1","Pool 2",0.053,0.016,29.6
"1","Pool 3",0.080,0.016,19.5
"1","Pool 4",0.111,0.017,15.1
"1","Pool 5",0.137,0.014,10.0
"1","Pool 6",0.164,0.012,7.4
"1","Pool 7",0.190,0.011,6.0
"1","Pool 8",0.214,0.016,7.5
"1","Pool 9",0.245,0.013,5.4
"2","Pool 1",0.041,0.018,44.1
"2","Pool 2",0.047,0.014,28.8
"2","Pool 3",0.077,0.012,15.1
"2","Pool 4",0.106,0.019,17.8
"2","Pool 5",0.136,0.016,11.4
"2","Pool 6",0.159,0.015,9.2
"2","Pool 7",0.182,0.015,8.4
"2","Pool 8",0.205,0.016,7.8
"2","Pool 9",0.234,0.014,6.2
