"type","sample","result"
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",0
"blank","B1",1.08
"blank","B1",1.92
"blank","B1",2.38
"blank","B1",2.98
"blank","B2",3.8
"blank","B2",4.78
"blank","B2",7.3
"blank","B2",8.81
"blank","B2",10.31
"blank","B2",11.29
"blank","B2",13.48
"blank","B2",14.39
"blank","B2",16.97
"blank","B2",17.4
"blank","B2",18.01
"blank","B2",22.65
"positive","L1",18.8
"positive","L1",19.02
"positive","L1",26.63
"positive","L1",26.91
"positive","L1",31.08
"positive","L1",33.99
"positive","L1",35.11
"positive","L1",35.9
"positive","L1",41.67
"positive","L1",43.9
"positive","L1",46.32
"positive","L1",47.77
"positive","L2",47.99
"positive","L2",48.83
"positive","L2",54.67
"positive","L2",57.3
"positive","L2",59.1
"positive","L2",61.17
"positive","L2",61.96
"positive","L2",62.97
"positive","L2",66.44
"positive","L2",73.44
"positive","L2",73.8
"positive","L2",75.71
