"lot","sample","result","target"
"1","Sample 1",47.8,46.4
"1","Sample 1",44.6,46.4
"1","Sample 1",47.1,46.4
"1","Sample 1",50.8,46.4
"1","Sample 1",48.2,46.4
"1","Sample 1",52.5,46.4
"1","Sample 1",49.4,46.4
"1","Sample 1",52,46.4
"1","Sample 1",46.3,46.4
"1","Sample 2",47.3,45.8
"1","Sample 2",48.8,45.8
"1","Sample 2",47.6,45.8
"1","Sample 2",54.7,45.8
"1","Sample 2",50.7,45.8
"1","Sample 2",50.8,45.8
"1","Sample 2",52.5,45.8
"1","Sample 2",50.4,45.8
"1","Sample 2",49.6,45.8
"1","Sample 3",49.7,49.1
"1","Sample 3",51.2,49.1
"1","Sample 3",57.3,49.1
"1","Sample 3",54.6,49.1
"1","Sample 3",49.3,49.1
"1","Sample 3",53.3,49.1
"1","Sample 3",58,49.1
"1","Sample 3",49.5,49.1
"1","Sample 3",52.2,49.1
"1","Sample 4",50.4,46.3
"1","Sample 4",49.5,46.3
"1","Sample 4",44,46.3
"1","Sample 4",51.5,46.3
"1","Sample 4",51.4,46.3
"1","Sample 4",49.8,46.3
"1","Sample 4",46.1,46.3
"1","Sample 4",45.7,46.3
"1","Sample 4",50.9,46.3
"1","Sample 5",53.7,49.7
"1","Sample 5",52.7,49.7
"1","Sample 5",55.9,49.7
"1","Sample 5",55.1,49.7
"1","Sample 5",55.5,49.7
"1","Sample 5",57.3,49.7
"1","Sample 5",51.8,49.7
"1","Sample 5",48.8,49.7
"1","Sample 5",51.7,49.7
