lot,day,replicate,sample,result
1,1,1,L1,0.38
1,1,1,L2,0.71
1,1,1,L3,1.21
1,1,1,L4,1.38
1,1,1,L5,1.82
1,1,2,L1,0.35
1,1,2,L2,0.70
1,1,2,L3,1.05
1,1,2,L4,1.50
1,1,2,L5,1.90
1,1,3,L1,0.44
1,1,3,L2,0.72
1,1,3,L3,1.20
1,1,3,L4,1.32
1,1,3,L5,2.01
1,1,4,L1,0.38
1,1,4,L2,0.77
1,1,4,L3,1.06
1,1,4,L4,1.33
1,1,4,L5,1.83
1,2,1,L1,0.32
1,2,1,L2,0.75
1,2,1,L3,1.13
1,2,1,L4,1.40
1,2,1,L5,1.94
1,2,2,L1,0.39
1,2,2,L2,0.72
1,2,2,L3,1.19
1,2,2,L4,1.40
1,2,2,L5,1.86
1,2,3,L1,0.43
1,2,3,L2,0.77
1,2,3,L3,1.01
1,2,3,L4,1.50
1,2,3,L5,1.93
1,2,4,L1,0.43
1,2,4,L2,0.77
1,2,4,L3,1.08
1,2,4,L4,1.46
1,2,4,L5,1.80
1,3,1,L1,0.35
1,3,1,L2,0.79
1,3,1,L3,1.02
1,3,1,L4,1.33
1,3,1,L5,1.85
1,3,2,L1,0.34
1,3,2,L2,0.78
1,3,2,L3,1.07
1,3,2,L4,1.37
1,3,2,L5,1.75
1,3,3,L1,0.42
1,3,3,L2,0.69
1,3,3,L3,1.20
1,3,3,L4,1.34
1,3,3,L5,1.68
1,3,4,L1,0.41
1,3,4,L2,0.70
1,3,4,L3,1.04
1,3,4,L4,1.34
1,3,4,L5,1.91
2,1,1,L1,0.37
2,1,1,L2,0.77
2,1,1,L3,1.04
2,1,1,L4,1.32
2,1,1,L5,1.89
2,1,2,L1,0.32
2,1,2,L2,0.66
2,1,2,L3,1.05
2,1,2,L4,1.39
2,1,2,L5,1.68
2,1,3,L1,0.34
2,1,3,L2,0.75
2,1,3,L3,1.20
2,1,3,L4,1.29
2,1,3,L5,1.74
2,1,4,L1,0.41
2,1,4,L2,0.75
2,1,4,L3,1.10
2,1,4,L4,1.46
2,1,4,L5,1.74
2,2,1,L1,0.33
2,2,1,L2,0.67
2,2,1,L3,1.18
2,2,1,L4,1.29
2,2,1,L5,1.77
2,2,2,L1,0.35
2,2,2,L2,0.69
2,2,2,L3,1.01
2,2,2,L4,1.38
2,2,2,L5,1.77
2,2,3,L1,0.34
2,2,3,L2,0.71
2,2,3,L3,1.02
2,2,3,L4,1.41
2,2,3,L5,1.73
2,2,4,L1,0.42
2,2,4,L2,0.78
2,2,4,L3,1.18
2,2,4,L4,1.51
2,2,4,L5,1.89
2,3,1,L1,0.32
2,3,1,L2,0.66
2,3,1,L3,1.14
2,3,1,L4,1.51
2,3,1,L5,1.89
2,3,2,L1,0.35
2,3,2,L2,0.71
2,3,2,L3,1.19
2,3,2,L4,1.43
2,3,2,L5,1.62
2,3,3,L1,0.36
2,3,3,L2,0.78
2,3,3,L3,1.15
2,3,3,L4,1.31
2,3,3,L5,1.67
2,3,4,L1,0.32
2,3,4,L2,0.79
2,3,4,L3,1.12
2,3,4,L4,1.41
2,3,4,L5,1.95
