analyte,value,women,men,combined
calcium,8.8,1,0,1
calcium,8.9,2,0,2
calcium,9.0,1,0,1
calcium,9.1,3,2,5
calcium,9.2,11,1,12
calcium,9.3,11,8,19
calcium,9.4,8,6,14
calcium,9.5,16,11,27
calcium,9.6,16,12,28
calcium,9.7,26,13,39
calcium,9.8,8,16,24
calcium,9.9,7,14,21
calcium,10.0,3,7,10
calcium,10.1,2,10,12
calcium,10.2,3,11,14
calcium,10.3,2,7,9
calcium,10.4,0,1,1
calcium,10.5,0,0,0
calcium,10.6,0,1,1
alt,5,1,0,1
alt,6,3,0,3
alt,7,1,0,1
alt,8,5,0,5
alt,9,2,1,3
alt,10,2,2,4
alt,11,7,4,11
alt,12,11,2,13
alt,13,10,3,13
alt,14,7,6,13
alt,15,7,3,10
alt,16,7,4,11
alt,17,8,1,9
alt,18,6,4,10
alt,19,7,6,13
alt,20,5,10,15
alt,21,6,5,11
alt,22,4,4,8
alt,23,4,1,5
alt,24,0,3,3
alt,25,3,8,11
alt,26,2,3,5
alt,27,0,1,1
alt,28,2,4,6
alt,29,1,1,2
alt,30,2,3,5
alt,31,0,5,5
alt,32,0,1,1
alt,33,0,1,1
alt,34,0,2,2
alt,35,0,2,2
alt,36,1,5,6
alt,37,2,1,3
alt,38,0,2,2
alt,39,1,2,3
alt,40,0,3,3
alt,41,0,1,1
alt,42,0,1,1
alt,45,0,2,2
alt,46,1,0,1
alt,47,1,1,2
alt,48,0,2,2
alt,49,0,1,1
alt,51,0,3,3
alt,53,0,1,1
alt,54,0,1,1
alt,55,0,2,2
alt,62,0,1,1
alt,65,1,0,1
alt,69,0,1,1

