analyte,group,statistic,calculated,standard,tolerance,status
calcium,women,reference_lower,8.9,8.9,0.05,corresponding
calcium,women,reference_upper,10.2,10.2,0.05,corresponding
calcium,women,lower_CI_lower,8.8,8.8,0.05,corresponding
calcium,women,lower_CI_upper,9.1,9.1,0.05,corresponding
calcium,women,upper_CI_lower,10.1,10.1,0.05,corresponding
calcium,women,upper_CI_upper,10.3,10.3,0.05,corresponding
calcium,men,reference_lower,9.2,9.2,0.05,corresponding
calcium,men,reference_upper,10.3,10.3,0.05,corresponding
calcium,men,lower_CI_lower,9.1,9.1,0.05,corresponding
calcium,men,lower_CI_upper,9.3,9.3,0.05,corresponding
calcium,men,upper_CI_lower,10.3,10.3,0.05,corresponding
calcium,men,upper_CI_upper,10.6,10.6,0.05,corresponding
calcium,combined,reference_lower,9.1,9.1,0.05,corresponding
calcium,combined,reference_upper,10.3,10.3,0.05,corresponding
calcium,combined,lower_CI_lower,8.9,8.9,0.05,corresponding
calcium,combined,lower_CI_upper,9.2,9.2,0.05,corresponding
calcium,combined,upper_CI_lower,10.3,10.3,0.05,corresponding
calcium,combined,upper_CI_upper,10.4,10.4,0.05,corresponding
alt,women,reference_lower,6,6,0.5,corresponding
alt,women,reference_upper,46,46,0.5,corresponding
alt,women,lower_CI_lower,5,5,0.5,corresponding
alt,women,lower_CI_upper,8,8,0.5,corresponding
alt,women,upper_CI_lower,36,36,0.5,corresponding
alt,women,upper_CI_upper,65,65,0.5,corresponding
alt,men,reference_lower,10,10,0.5,corresponding
alt,men,reference_upper,55,55,0.5,corresponding
alt,men,lower_CI_lower,9,9,0.5,corresponding
alt,men,lower_CI_upper,11,11,0.5,corresponding
alt,men,upper_CI_lower,51,51,0.5,corresponding
alt,men,upper_CI_upper,69,69,0.5,corresponding
alt,combined,reference_lower,8,8,0.5,corresponding
alt,combined,reference_upper,54,54,0.5,corresponding
alt,combined,lower_CI_lower,6,6,0.5,corresponding
alt,combined,lower_CI_upper,9,9,0.5,corresponding
alt,combined,upper_CI_lower,49,49,0.5,corresponding
alt,combined,upper_CI_upper,65,65,0.5,corresponding
calcium,appendix_b,center,9.6244395,9.6244,0.00005,corresponding
calcium,appendix_b,sbi_205_6,0.27042704,0.27043,0.00005,corresponding
calcium,appendix_b,ST_3_7,0.04818684,0.04816,0.00005,corresponding_rounding
calcium,appendix_b,reference_lower,9.04951372,9.05,0.005,corresponding
calcium,appendix_b,reference_upper,10.19936527,10.2,0.005,corresponding
