"lot","replicate","value"
"L1",1,100.35
"L1",2,101.67
"L1",3,100.78
"L1",4,101.77
"L1",5,100.53
"L1",6,100.63
"L1",7,99.95
"L1",8,101.78
"L1",9,98.09
"L1",10,100.27
"L1",11,101.7
"L1",12,101.16
"L1",13,102.29
"L1",14,99.16
"L1",15,102.13
"L2",1,101.75
"L2",2,99.64
"L2",3,102.28
"L2",4,103.37
"L2",5,99.15
"L2",6,101.97
"L2",7,99.7
"L2",8,102.51
"L2",9,100.5
"L2",10,102.44
"L2",11,103.66
"L2",12,100.02
"L2",13,99.88
"L2",14,101.09
"L2",15,101.18
"L3",1,101.06
"L3",2,101.26
"L3",3,100.36
"L3",4,99.84
"L3",5,99.72
"L3",6,101.1
"L3",7,101.69
"L3",8,101.21
"L3",9,99.87
"L3",10,100.21
"L3",11,99.65
"L3",12,101.6
"L3",13,101.41
"L3",14,99.98
"L3",15,99.55
