"case","statistic","computed","standard","difference","status"
"WS/T 408精密度-样品1","mean",1.042,1.042,0,"对应"
"WS/T 408精密度-样品1","sWR",0.0228035085019828,0.0228035085,1.98277852470063e-12,"对应"
"WS/T 408精密度-样品1","sWL",0.0241522945769824,0.0241522946,-2.30175982440795e-11,"对应"
"WS/T 408精密度-样品2","mean",1.54933333333333,1.5493333333,3.33335581359506e-11,"对应"
"WS/T 408精密度-样品2","sWR",0.0246306042692149,0.0246306043,-3.07850932246279e-11,"对应"
"WS/T 408精密度-样品2","sWL",0.0262678510731274,0.0262678511,-2.68725909580159e-11,"对应"
"WS/T 408参考物质-GBW09193","mean",1.528,1.528,0,"对应"
"WS/T 408参考物质-GBW09193","bias",0.038,0.038,3.46944695195361e-17,"对应"
"WS/T 408参考物质-GBW09193","s_bias",0.0206451500896027,0.0206451501,-1.03973010756597e-11,"对应"
"WS/T 408参考物质-GBW09195","mean",1.05,1.05,0,"对应"
"WS/T 408参考物质-GBW09195","bias",0.03,0.03,2.77555756156289e-17,"对应"
"WS/T 408参考物质-GBW09195","s_bias",0.0204939015319192,0.0204939015,3.19191964526233e-11,"对应"
"WS/T 408程序对比","mean_difference",0.032,0.032,6.93889390390723e-18,"对应"
"WS/T 408程序对比","sd_difference",0.0458372406627945,0.0458372407,-3.72054678732248e-11,"对应"
"WS/T 408线性","residual_sd",0.0317804971641407,0.0317804972,-3.58592600058216e-11,"对应"
"WS/T 408线性","sWR",0.0186189867250253,0.0186189867,2.50252665812134e-11,"对应"
"WS/T 408线性","F",2.91346153846141,2.9134615385,-3.85877996222916e-11,"对应"
"WS/T 408线性","sNL",0.025755258362775,0.0257552584,-3.72250251456929e-11,"对应"
"WS/T 408干扰","effect",0.0150000000000001,0.015,1.2490009027033e-16,"对应"
"WS/T 408干扰","effect_sd",0.00570574758954124,0.0057057476,-1.04587649304988e-11,"对应"
"WS/T 408样品特定效应","sd_difference",0.0306883742773949,0.0306883743,-2.26051226348556e-11,"对应"
"WS/T 408样品特定效应","sPR",0.0139194109070751,0.0139194109,7.07505755370708e-12,"对应"
"WS/T 408样品特定效应","sSS",0.0273500697584023,0.0273500698,-4.15977113865651e-11,"对应"
