Sample,Day,Replicate,Result
Sample_A,0,1,100.2
Sample_A,0,2,99.8
Sample_A,0,3,100.0
Sample_A,7,1,99.7
Sample_A,7,2,99.5
Sample_A,7,3,99.8
Sample_A,14,1,99.2
Sample_A,14,2,99.4
Sample_A,14,3,99.1
Sample_A,21,1,98.7
Sample_A,21,2,98.5
Sample_A,21,3,98.8
Sample_A,28,1,98.0
Sample_A,28,2,98.3
Sample_A,28,3,98.1
Sample_A,42,1,96.1
Sample_A,42,2,96.4
Sample_A,42,3,96.2
Sample_B,0,1,50.2
Sample_B,0,2,49.9
Sample_B,0,3,50.0
Sample_B,7,1,49.9
Sample_B,7,2,49.8
Sample_B,7,3,50.0
Sample_B,14,1,49.6
Sample_B,14,2,49.8
Sample_B,14,3,49.7
Sample_B,21,1,49.4
Sample_B,21,2,49.5
Sample_B,21,3,49.3
Sample_B,28,1,49.1
Sample_B,28,2,49.0
Sample_B,28,3,49.2
Sample_B,42,1,48.5
Sample_B,42,2,48.7
Sample_B,42,3,48.6
