series,day,result
low_panel,0,7.07
low_panel,33,6.95
low_panel,61,6.99
low_panel,95,6.88
low_panel,121,6.98
low_panel,155,6.83
low_panel,186,6.72
low_panel,212,6.81
low_panel,244,6.65
low_panel,275,6.68
low_panel,303,6.49
low_panel,364,6.51
low_panel,418,6.42
low_control,0,25.22
low_control,33,25.4
low_control,61,24.88
low_control,95,24.92
low_control,121,25
low_control,155,24.77
low_control,186,24.81
low_control,212,24.72
low_control,244,24.76
low_control,275,24.52
low_control,303,24
low_control,364,24.22
low_control,418,24.18
high_control,0,99.82
high_control,33,100.15
high_control,61,98.8
high_control,95,98.33
high_control,121,97.67
high_control,155,99.01
high_control,186,98.11
high_control,212,98.77
high_control,244,97.68
high_control,275,96.78
high_control,303,96.55
high_control,364,96.39
high_control,418,96.14
