control,month,condition,result
negative,0,reference,0.23
negative,1,reference,0.24
negative,2,reference,0.24
negative,3,reference,0.23
negative,4,reference,0.24
negative,5,reference,0.25
negative,6,reference,0.24
negative,7,reference,0.25
negative,7.5,reference,0.22
negative,0,on_test,0.23
negative,1,on_test,0.26
negative,2,on_test,0.27
negative,3,on_test,0.25
negative,4,on_test,0.27
negative,5,on_test,0.29
negative,6,on_test,0.31
negative,7,on_test,0.33
negative,7.5,on_test,0.3
positive,0,reference,50.2
positive,1,reference,50.1
positive,2,reference,49.9
positive,3,reference,50.3
positive,4,reference,50.1
positive,5,reference,49.7
positive,6,reference,49.9
positive,7,reference,50.1
positive,7.5,reference,50
positive,0,on_test,50.1
positive,1,on_test,49.8
positive,2,on_test,49.5
positive,3,on_test,49.6
positive,4,on_test,49.4
positive,5,on_test,49.3
positive,6,on_test,49
positive,7,on_test,48.7
positive,7.5,on_test,48.2
