sample,condition,time,replicate,result
low_panel,unstressed,0,1,7.24
low_panel,unstressed,0,2,6.98
low_panel,unstressed,0,3,6.94
low_panel,unstressed,0,4,6.82
low_panel,unstressed,0,5,7.09
low_panel,unstressed,0,6,7.14
low_panel,unstressed,0,7,7.22
low_panel,unstressed,0,8,7.14
low_panel,unstressed,0,9,6.9
low_panel,unstressed,0,10,7.24
low_panel,stressed,0,1,7.17
low_panel,stressed,0,2,7.1
low_panel,stressed,0,3,6.98
low_panel,stressed,0,4,6.83
low_panel,stressed,0,5,7.12
low_panel,stressed,0,6,7.05
low_panel,stressed,0,7,7.23
low_panel,stressed,0,8,7.28
low_panel,stressed,0,9,7.06
low_panel,stressed,0,10,6.88
low_control,unstressed,0,1,24.98
low_control,unstressed,0,2,24.68
low_control,unstressed,0,3,25.18
low_control,unstressed,0,4,25.29
low_control,unstressed,0,5,25.11
low_control,unstressed,0,6,25.12
low_control,unstressed,0,7,25.14
low_control,unstressed,0,8,25.17
low_control,unstressed,0,9,25.17
low_control,unstressed,0,10,25.9
low_control,stressed,0,1,24.95
low_control,stressed,0,2,25.45
low_control,stressed,0,3,25.4
low_control,stressed,0,4,25.71
low_control,stressed,0,5,25.33
low_control,stressed,0,6,25.06
low_control,stressed,0,7,25.36
low_control,stressed,0,8,24.83
low_control,stressed,0,9,25.31
low_control,stressed,0,10,24.23
high_control,unstressed,0,1,100.52
high_control,unstressed,0,2,102.87
high_control,unstressed,0,3,98.18
high_control,unstressed,0,4,94.68
high_control,unstressed,0,5,96.8
high_control,unstressed,0,6,99.13
high_control,unstressed,0,7,98.97
high_control,unstressed,0,8,99.73
high_control,unstressed,0,9,98.9
high_control,unstressed,0,10,101.83
high_control,stressed,0,1,99.95
high_control,stressed,0,2,101.61
high_control,stressed,0,3,101.71
high_control,stressed,0,4,102.58
high_control,stressed,0,5,99.45
high_control,stressed,0,6,98.97
high_control,stressed,0,7,99.33
high_control,stressed,0,8,100.61
high_control,stressed,0,9,94.47
high_control,stressed,0,10,98.25
