series,statistic,calculated,standard,tolerance,status
low_panel,slope,-0.00156721,-0.001567,0.0000005,corresponding
low_panel,intercept,7.06510,7.065,0.0005,corresponding
low_panel,var_slope,1.797e-08,1.797e-08,5e-11,corresponding
low_panel,var_ratio,3.3053e-10,3.305e-10,5e-14,corresponding
low_panel,change_364,-8.0744,-8.07,0.01,corresponding
low_panel,change_364_upper_CL,-9.2628,-9.26,0.01,corresponding
low_panel,change_418,-9.2722,-9.27,0.01,corresponding
low_panel,change_418_upper_CL,-10.6370,-10.64,0.01,corresponding
low_control,slope,-0.00287343,-0.002873,0.0000005,corresponding
low_control,intercept,25.26837,25.27,0.005,corresponding
low_control,var_slope,1.529e-07,1.529e-07,5e-10,corresponding
low_control,var_ratio,2.2927e-10,2.293e-10,5e-14,corresponding
low_control,change_364,-4.1393,-4.14,0.01,corresponding
low_control,change_364_upper_CL,-5.1291,-5.13,0.01,corresponding
low_control,change_418,-4.7533,-4.75,0.01,corresponding
low_control,change_418_upper_CL,-5.8900,-5.89,0.01,corresponding
high_control,slope,-0.00910275,-0.009103,0.0000005,corresponding
high_control,intercept,99.74281,99.74,0.01,corresponding
high_control,var_slope,1.720e-06,1.720e-06,5e-9,corresponding
high_control,var_ratio,1.6698e-10,1.670e-10,5e-14,corresponding
high_control,change_364,-3.3219,-3.32,0.01,corresponding
high_control,change_364_upper_CL,-4.1667,-4.17,0.01,corresponding
high_control,change_418,-3.8148,-3.81,0.01,corresponding
high_control,change_418_upper_CL,-4.7848,-4.78,0.01,corresponding
