"study","time","bottle","replicate","result","time_unit"
"长期",0,1,1,50.07,"month"
"长期",0,1,2,51.04,"month"
"长期",0,1,3,50.46,"month"
"长期",0,2,1,49.89,"month"
"长期",0,2,2,50.32,"month"
"长期",0,2,3,50.21,"month"
"长期",3,1,1,49.57,"month"
"长期",3,1,2,49.86,"month"
"长期",3,1,3,49.34,"month"
"长期",3,2,1,51.02,"month"
"长期",3,2,2,49.69,"month"
"长期",3,2,3,48.87,"month"
"长期",6,1,1,49.61,"month"
"长期",6,1,2,49.14,"month"
"长期",6,1,3,49.73,"month"
"长期",6,2,1,49.43,"month"
"长期",6,2,2,49.46,"month"
"长期",6,2,3,49.53,"month"
"长期",9,1,1,50.28,"month"
"长期",9,1,2,50.71,"month"
"长期",9,1,3,50.79,"month"
"长期",9,2,1,49.99,"month"
"长期",9,2,2,49.77,"month"
"长期",9,2,3,50.18,"month"
"长期",12,1,1,50.02,"month"
"长期",12,1,2,49.79,"month"
"长期",12,1,3,49.9,"month"
"长期",12,2,1,49.84,"month"
"长期",12,2,2,49.44,"month"
"长期",12,2,3,49.75,"month"
"长期",15,1,1,49.67,"month"
"长期",15,1,2,50.12,"month"
"长期",15,1,3,49.88,"month"
"长期",15,2,1,50.04,"month"
"长期",15,2,2,49.78,"month"
"长期",15,2,3,49.37,"month"
"长期",18,1,1,49.84,"month"
"长期",18,1,2,49.61,"month"
"长期",18,1,3,50.11,"month"
"长期",18,2,1,49.86,"month"
"长期",18,2,2,49.74,"month"
"长期",18,2,3,49.57,"month"
"运输室温",0,1,1,50.68,"day"
"运输室温",0,1,2,50.5,"day"
"运输室温",0,1,3,50.92,"day"
"运输室温",0,2,1,50.71,"day"
"运输室温",0,2,2,50.43,"day"
"运输室温",0,2,3,50.61,"day"
"运输室温",1,1,1,50.49,"day"
"运输室温",1,1,2,50.3,"day"
"运输室温",1,1,3,50.59,"day"
"运输室温",1,2,1,50.38,"day"
"运输室温",1,2,2,50.69,"day"
"运输室温",1,2,3,50.57,"day"
"运输室温",2,1,1,49.96,"day"
"运输室温",2,1,2,50.24,"day"
"运输室温",2,1,3,50.15,"day"
"运输室温",2,2,1,50.05,"day"
"运输室温",2,2,2,49.87,"day"
"运输室温",2,2,3,50.27,"day"
"运输室温",3,1,1,49.94,"day"
"运输室温",3,1,2,49.62,"day"
"运输室温",3,1,3,49.73,"day"
"运输室温",3,2,1,49.72,"day"
"运输室温",3,2,2,49.51,"day"
"运输室温",3,2,3,49.75,"day"
"运输室温",4,1,1,50.89,"day"
"运输室温",4,1,2,50.49,"day"
"运输室温",4,1,3,50.57,"day"
"运输室温",4,2,1,50.56,"day"
"运输室温",4,2,2,50.49,"day"
"运输室温",4,2,3,50.77,"day"
"运输室温",5,1,1,49.36,"day"
"运输室温",5,1,2,49.27,"day"
"运输室温",5,1,3,49.2,"day"
"运输室温",5,2,1,49.22,"day"
"运输室温",5,2,2,49.27,"day"
"运输室温",5,2,3,49.34,"day"
"运输室温",6,1,1,50.1,"day"
"运输室温",6,1,2,49.79,"day"
"运输室温",6,1,3,49.56,"day"
"运输室温",6,2,1,49.69,"day"
"运输室温",6,2,2,50.08,"day"
"运输室温",6,2,3,50.89,"day"
"运输室温",7,1,1,50.57,"day"
"运输室温",7,1,2,50.78,"day"
"运输室温",7,1,3,50.89,"day"
"运输室温",7,2,1,50.64,"day"
"运输室温",7,2,2,50.48,"day"
"运输室温",7,2,3,50.37,"day"
"运输37C",0,1,1,50.58,"day"
"运输37C",0,1,2,50.94,"day"
"运输37C",0,1,3,50.72,"day"
"运输37C",0,2,1,50.63,"day"
"运输37C",0,2,2,50.9,"day"
"运输37C",0,2,3,50.8,"day"
"运输37C",1,1,1,50.67,"day"
"运输37C",1,1,2,50.46,"day"
"运输37C",1,1,3,50.98,"day"
"运输37C",1,2,1,50.38,"day"
"运输37C",1,2,2,50.49,"day"
"运输37C",1,2,3,50.78,"day"
"运输37C",2,1,1,50.21,"day"
"运输37C",2,1,2,50.32,"day"
"运输37C",2,1,3,50.13,"day"
"运输37C",2,2,1,50.24,"day"
"运输37C",2,2,2,50.36,"day"
"运输37C",2,2,3,50.04,"day"
"运输37C",3,1,1,49.87,"day"
"运输37C",3,1,2,49.69,"day"
"运输37C",3,1,3,50.19,"day"
"运输37C",3,2,1,49.83,"day"
"运输37C",3,2,2,49.67,"day"
"运输37C",3,2,3,50.06,"day"
"运输37C",4,1,1,49.59,"day"
"运输37C",4,1,2,49.68,"day"
"运输37C",4,1,3,49.38,"day"
"运输37C",4,2,1,50.57,"day"
"运输37C",4,2,2,49.48,"day"
"运输37C",4,2,3,49.68,"day"
"运输37C",5,1,1,50.24,"day"
"运输37C",5,1,2,50.36,"day"
"运输37C",5,1,3,50.13,"day"
"运输37C",5,2,1,50.14,"day"
"运输37C",5,2,2,49.25,"day"
"运输37C",5,2,3,49.34,"day"
"运输37C",6,1,1,49.08,"day"
"运输37C",6,1,2,50.79,"day"
"运输37C",6,1,3,50.98,"day"
"运输37C",6,2,1,50.87,"day"
"运输37C",6,2,2,50.19,"day"
"运输37C",6,2,3,50.78,"day"
"运输37C",7,1,1,50.83,"day"
"运输37C",7,1,2,50.46,"day"
"运输37C",7,1,3,50.62,"day"
"运输37C",7,2,1,50.6,"day"
"运输37C",7,2,2,50.58,"day"
"运输37C",7,2,3,50.79,"day"
"复溶",0,1,1,50.45,"day"
"复溶",0,1,2,50.81,"day"
"复溶",0,1,3,50.14,"day"
"复溶",0,2,1,49.98,"day"
"复溶",0,2,2,50.21,"day"
"复溶",0,2,3,50.1,"day"
"复溶",1,1,1,49.97,"day"
"复溶",1,1,2,49.55,"day"
"复溶",1,1,3,49.36,"day"
"复溶",1,2,1,50.21,"day"
"复溶",1,2,2,49.97,"day"
"复溶",1,2,3,49.88,"day"
"复溶",2,1,1,49.86,"day"
"复溶",2,1,2,49.56,"day"
"复溶",2,1,3,49.27,"day"
"复溶",2,2,1,49.64,"day"
"复溶",2,2,2,49.86,"day"
"复溶",2,2,3,49.57,"day"
"复溶",3,1,1,49.64,"day"
"复溶",3,1,2,49.31,"day"
"复溶",3,1,3,48.93,"day"
"复溶",3,2,1,48.85,"day"
"复溶",3,2,2,49.47,"day"
"复溶",3,2,3,49.56,"day"
"复溶",4,1,1,49.4,"day"
"复溶",4,1,2,49.08,"day"
"复溶",4,1,3,49.27,"day"
"复溶",4,2,1,49.54,"day"
"复溶",4,2,2,48.94,"day"
"复溶",4,2,3,49.38,"day"
"复溶",5,1,1,49.16,"day"
"复溶",5,1,2,49.07,"day"
"复溶",5,1,3,49.28,"day"
"复溶",5,2,1,49.01,"day"
"复溶",5,2,2,48.97,"day"
"复溶",5,2,3,48.99,"day"
"复溶",6,1,1,50.84,"day"
"复溶",6,1,2,50.63,"day"
"复溶",6,1,3,50.71,"day"
"复溶",6,2,1,50.86,"day"
"复溶",6,2,2,50.66,"day"
"复溶",6,2,3,49.54,"day"
"复溶",7,1,1,50.79,"day"
"复溶",7,1,2,50.87,"day"
"复溶",7,1,3,50.58,"day"
"复溶",7,2,1,50.77,"day"
"复溶",7,2,2,50.49,"day"
"复溶",7,2,3,49.66,"day"
