"sample_id","material_type","run_order","procedure","replicate","result","position"
"CS01","clinical",21,"A",1,206.27,
"CS01","clinical",21,"A",2,213.13,
"CS01","clinical",21,"A",3,204.53,
"CS01","clinical",21,"B",1,217.43,
"CS01","clinical",21,"B",2,208.78,
"CS01","clinical",21,"B",3,219.86,
"CS02","clinical",10,"A",1,143.71,
"CS02","clinical",10,"A",2,146.45,
"CS02","clinical",10,"A",3,144.76,
"CS02","clinical",10,"B",1,161.57,
"CS02","clinical",10,"B",2,161.95,
"CS02","clinical",10,"B",3,163.32,
"CS03","clinical",22,"A",1,118.59,
"CS03","clinical",22,"A",2,117.81,
"CS03","clinical",22,"A",3,126.21,
"CS03","clinical",22,"B",1,127.43,
"CS03","clinical",22,"B",2,133.14,
"CS03","clinical",22,"B",3,129.01,
"CS04","clinical",8,"A",1,224.56,
"CS04","clinical",8,"A",2,231.18,
"CS04","clinical",8,"A",3,222.17,
"CS04","clinical",8,"B",1,246.47,
"CS04","clinical",8,"B",2,236.57,
"CS04","clinical",8,"B",3,245.42,
"CS05","clinical",9,"A",1,249.09,
"CS05","clinical",9,"A",2,248.05,
"CS05","clinical",9,"A",3,247.22,
"CS05","clinical",9,"B",1,266.61,
"CS05","clinical",9,"B",2,274.72,
"CS05","clinical",9,"B",3,261.04,
"CS06","clinical",25,"A",1,206.03,
"CS06","clinical",25,"A",2,205.6,
"CS06","clinical",25,"A",3,202.75,
"CS06","clinical",25,"B",1,217.59,
"CS06","clinical",25,"B",2,215.63,
"CS06","clinical",25,"B",3,222.02,
"CS07","clinical",5,"A",1,220.74,
"CS07","clinical",5,"A",2,224.57,
"CS07","clinical",5,"A",3,217.09,
"CS07","clinical",5,"B",1,236.31,
"CS07","clinical",5,"B",2,241.65,
"CS07","clinical",5,"B",3,240.33,
"CS08","clinical",1,"A",1,175.12,
"CS08","clinical",1,"A",2,173.99,
"CS08","clinical",1,"A",3,181.63,
"CS08","clinical",1,"B",1,182.33,
"CS08","clinical",1,"B",2,191.41,
"CS08","clinical",1,"B",3,195.36,
"CS09","clinical",3,"A",1,242.66,
"CS09","clinical",3,"A",2,245.04,
"CS09","clinical",3,"A",3,245.72,
"CS09","clinical",3,"B",1,269.62,
"CS09","clinical",3,"B",2,272.5,
"CS09","clinical",3,"B",3,265.39,
"CS10","clinical",14,"A",1,162.58,
"CS10","clinical",14,"A",2,158.43,
"CS10","clinical",14,"A",3,162.55,
"CS10","clinical",14,"B",1,177.67,
"CS10","clinical",14,"B",2,169.33,
"CS10","clinical",14,"B",3,173.15,
"CS11","clinical",18,"A",1,131.18,
"CS11","clinical",18,"A",2,137.38,
"CS11","clinical",18,"A",3,128.5,
"CS11","clinical",18,"B",1,137.68,
"CS11","clinical",18,"B",2,131.66,
"CS11","clinical",18,"B",3,144.67,
"CS12","clinical",3,"A",1,242.84,
"CS12","clinical",3,"A",2,247.71,
"CS12","clinical",3,"A",3,250.34,
"CS12","clinical",3,"B",1,264.58,
"CS12","clinical",3,"B",2,270.42,
"CS12","clinical",3,"B",3,268.85,
"CS13","clinical",19,"A",1,133.99,
"CS13","clinical",19,"A",2,140.23,
"CS13","clinical",19,"A",3,138.34,
"CS13","clinical",19,"B",1,155.64,
"CS13","clinical",19,"B",2,153.43,
"CS13","clinical",19,"B",3,150.03,
"CS14","clinical",15,"A",1,226.87,
"CS14","clinical",15,"A",2,209.17,
"CS14","clinical",15,"A",3,216.33,
"CS14","clinical",15,"B",1,238.32,
"CS14","clinical",15,"B",2,241.54,
"CS14","clinical",15,"B",3,242.92,
"CS15","clinical",24,"A",1,259.22,
"CS15","clinical",24,"A",2,257.44,
"CS15","clinical",24,"A",3,254.87,
"CS15","clinical",24,"B",1,285.09,
"CS15","clinical",24,"B",2,283.05,
"CS15","clinical",24,"B",3,282.53,
"CS16","clinical",20,"A",1,180.03,
"CS16","clinical",20,"A",2,178.13,
"CS16","clinical",20,"A",3,182.35,
"CS16","clinical",20,"B",1,188.97,
"CS16","clinical",20,"B",2,200.6,
"CS16","clinical",20,"B",3,196.3,
"CS17","clinical",17,"A",1,99.39,
"CS17","clinical",17,"A",2,106.08,
"CS17","clinical",17,"A",3,103.99,
"CS17","clinical",17,"B",1,110.16,
"CS17","clinical",17,"B",2,108.02,
"CS17","clinical",17,"B",3,111.61,
"CS18","clinical",12,"A",1,276.38,
"CS18","clinical",12,"A",2,279.19,
"CS18","clinical",12,"A",3,276.34,
"CS18","clinical",12,"B",1,284.93,
"CS18","clinical",12,"B",2,298.46,
"CS18","clinical",12,"B",3,304.16,
"CS19","clinical",6,"A",1,126.17,
"CS19","clinical",6,"A",2,132.06,
"CS19","clinical",6,"A",3,123.88,
"CS19","clinical",6,"B",1,135.89,
"CS19","clinical",6,"B",2,138.1,
"CS19","clinical",6,"B",3,138.66,
"CS20","clinical",4,"A",1,181.95,
"CS20","clinical",4,"A",2,173.08,
"CS20","clinical",4,"A",3,181.81,
"CS20","clinical",4,"B",1,192.45,
"CS20","clinical",4,"B",2,201.37,
"CS20","clinical",4,"B",3,193.65,
"a","rm",2,"A",1,107.17,
"a","rm",2,"A",2,106.39,
"a","rm",2,"A",3,113.02,
"a","rm",2,"B",1,117.6,
"a","rm",2,"B",2,107.32,
"a","rm",2,"B",3,105.53,
"b","rm",13,"A",1,122.86,
"b","rm",13,"A",2,124.04,
"b","rm",13,"A",3,122.47,
"b","rm",13,"B",1,131.54,
"b","rm",13,"B",2,140.26,
"b","rm",13,"B",3,139.05,
"c","rm",11,"A",1,150,
"c","rm",11,"A",2,143.63,
"c","rm",11,"A",3,147.22,
"c","rm",11,"B",1,182.85,
"c","rm",11,"B",2,170.44,
"c","rm",11,"B",3,172.81,
"d_run16","rm",16,"A",1,198.39,
"d_run16","rm",16,"A",2,200.01,
"d_run16","rm",16,"A",3,196.92,
"d_run16","rm",16,"B",1,215.74,
"d_run16","rm",16,"B",2,221.86,
"d_run16","rm",16,"B",3,210.35,
"d_run07","rm",7,"A",1,221.84,
"d_run07","rm",7,"A",2,221.94,
"d_run07","rm",7,"A",3,223.17,
"d_run07","rm",7,"B",1,250.75,
"d_run07","rm",7,"B",2,241.86,
"d_run07","rm",7,"B",3,239.59,
