"case","stratum","statistic","standard","tolerance","status"
"table4","0","mean",200.02,0.005,"对应"
"table4","10","mean",223.90,0.005,"对应"
"table4","20","mean",240.08,0.005,"对应"
"table4","30","mean",245.72,0.005,"对应"
"table4","40","mean",251.88,0.005,"对应"
"table4","0","cv_percent",0.9,0.05,"对应（原文按一位小数）"
"table4","10","cv_percent",2.1,0.05,"对应（原文按一位小数）"
"table4","20","cv_percent",1.4,0.05,"对应（原文按一位小数）"
"table4","30","cv_percent",1.9,0.05,"对应（原文按一位小数）"
"table4","40","cv_percent",1.8,0.05,"对应（原文按一位小数）"
"table4","10","absolute_difference",23.88,0.005,"对应"
"table4","20","absolute_difference",40.06,0.005,"对应"
"table4","30","absolute_difference",45.70,0.005,"对应"
"table4","40","absolute_difference",51.86,0.005,"对应"
"table4","10","percent_difference",11.94,0.005,"对应"
"table4","20","percent_difference",20.03,0.005,"对应"
"table4","30","percent_difference",22.85,0.005,"对应"
"table4","40","percent_difference",25.93,0.005,"对应"
"table4","all","interference_at_10_percent",8.375,0.005,"对应"
"table4_quadratic","all","intercept",200.64,0.005,"对应（原文按两位小数）"
"table4_quadratic","all","linear_term",2.5691,0.00005,"对应"
"table4_quadratic","all","quadratic_term",-0.032843,0.0000005,"对应"
"table4_quadratic","all","turning_point",39.1,0.05,"对应（原文按一位小数）"
"table5","0","mean",201.44,0.005,"对应"
"table5","10","mean",212.28,0.005,"对应"
"table5","20","mean",226.56,0.005,"对应"
"table5","30","mean",239.20,0.005,"对应"
"table5","40","mean",249.60,0.005,"对应"
"table5","0","cv_percent",1.5,0.05,"对应（原文按一位小数）"
"table5","10","cv_percent",1.1,0.05,"对应（原文按一位小数）"
"table5","20","cv_percent",2.3,0.05,"对应（原文按一位小数）"
"table5","30","cv_percent",1.2,0.05,"对应（原文按一位小数）"
"table5","40","cv_percent",1.2,0.05,"对应（原文按一位小数）"
"table5_linear","all","intercept",201.17,0.005,"对应（原文按两位小数）"
"table5_linear","all","slope",1.2324,0.00005,"对应"
"table5_linear","all","difference_intercept",-0.272,0.0005,"对应"
