"sample","replicate","concentration","result","concentration_unit","result_unit"
1,1,0,199.6,"mg/dL","nmol/L"
1,2,0,200.3,"mg/dL","nmol/L"
1,3,0,203.4,"mg/dL","nmol/L"
1,4,0,198.1,"mg/dL","nmol/L"
1,5,0,205.8,"mg/dL","nmol/L"
2,1,10,211.5,"mg/dL","nmol/L"
2,2,10,213.5,"mg/dL","nmol/L"
2,3,10,209.1,"mg/dL","nmol/L"
2,4,10,212.1,"mg/dL","nmol/L"
2,5,10,215.2,"mg/dL","nmol/L"
3,1,20,224.9,"mg/dL","nmol/L"
3,2,20,230.7,"mg/dL","nmol/L"
3,3,20,233.3,"mg/dL","nmol/L"
3,4,20,222.6,"mg/dL","nmol/L"
3,5,20,221.3,"mg/dL","nmol/L"
4,1,30,240.7,"mg/dL","nmol/L"
4,2,30,239.8,"mg/dL","nmol/L"
4,3,30,234.9,"mg/dL","nmol/L"
4,4,30,242.7,"mg/dL","nmol/L"
4,5,30,237.9,"mg/dL","nmol/L"
5,1,40,245.1,"mg/dL","nmol/L"
5,2,40,248.1,"mg/dL","nmol/L"
5,3,40,251.7,"mg/dL","nmol/L"
5,4,40,252.2,"mg/dL","nmol/L"
5,5,40,250.9,"mg/dL","nmol/L"
