"interferent","analyte_level","condition","interferent_concentration","replicate","result","unit"
"hemoglobin","low","control",0,1,0.272,"uIU/mL"
"hemoglobin","low","control",0,2,0.279,"uIU/mL"
"hemoglobin","low","control",0,3,0.278,"uIU/mL"
"hemoglobin","low","test",2000,1,0.347,"uIU/mL"
"hemoglobin","low","test",2000,2,0.358,"uIU/mL"
"hemoglobin","low","test",2000,3,0.354,"uIU/mL"
"hemoglobin","high","control",0,1,5.05,"uIU/mL"
"hemoglobin","high","control",0,2,5.03,"uIU/mL"
"hemoglobin","high","control",0,3,5.83,"uIU/mL"
"hemoglobin","high","test",2000,1,5.69,"uIU/mL"
"hemoglobin","high","test",2000,2,5.80,"uIU/mL"
"hemoglobin","high","test",2000,3,5.75,"uIU/mL"
"rheumatoid_factor","low","control",0,1,0.269,"uIU/mL"
"rheumatoid_factor","low","control",0,2,0.263,"uIU/mL"
"rheumatoid_factor","low","control",0,3,0.266,"uIU/mL"
"rheumatoid_factor","low","test",2000,1,0.266,"uIU/mL"
"rheumatoid_factor","low","test",2000,2,0.254,"uIU/mL"
"rheumatoid_factor","low","test",2000,3,0.263,"uIU/mL"
"rheumatoid_factor","high","control",0,1,6.01,"uIU/mL"
"rheumatoid_factor","high","control",0,2,5.48,"uIU/mL"
"rheumatoid_factor","high","control",0,3,4.96,"uIU/mL"
"rheumatoid_factor","high","test",2000,1,5.94,"uIU/mL"
"rheumatoid_factor","high","test",2000,2,5.57,"uIU/mL"
"rheumatoid_factor","high","test",2000,3,5.42,"uIU/mL"
