sample,dilution,dilution_factor,assigned,observed_mean
1,neat,1,1492.1,1492.1
1,1/2,2,1492.1,750.9
1,1/10,10,1492.1,145.4
1,1/50,50,1492.1,28.7
1,1/200,200,1492.1,7.5
2,neat,1,1386.5,1386.5
2,1/2,2,1386.5,680.9
2,1/10,10,1386.5,135.8
2,1/50,50,1386.5,28.5
2,1/200,200,1386.5,7.2
3,neat,1,1290.8,1290.8
3,1/2,2,1290.8,648.3
3,1/10,10,1290.8,135.7
3,1/50,50,1290.8,26.8
3,1/200,200,1290.8,6.4
4,neat,1,1451.6,1451.6
4,1/2,2,1451.6,745.2
4,1/10,10,1451.6,136.5
4,1/50,50,1451.6,27.9
4,1/200,200,1451.6,7.1
5,neat,1,1209.8,1209.8
5,1/2,2,1209.8,598.3
5,1/10,10,1209.8,127.2
5,1/50,50,1209.8,25.9
5,1/200,200,1209.8,6.1
6,neat,1,1326.4,1326.4
6,1/2,2,1326.4,710.3
6,1/10,10,1326.4,145.4
6,1/50,50,1326.4,28.7
6,1/200,200,1326.4,7.5
