sample,dilution,fraction,replicate,observed,dilution_factor
EP34-Table1,neat,1,1,624.3,1
EP34-Table1,1/2,0.5,1,293.1,2
EP34-Table1,1/4,0.25,1,156.1,4
EP34-Table1,1/10,0.1,1,63.1,10
EP34-Table1,1/20,0.05,1,34.1,20
EP34-Table1,neat,1,2,629.2,1
EP34-Table1,1/2,0.5,2,305.6,2
EP34-Table1,1/4,0.25,2,161.7,4
EP34-Table1,1/10,0.1,2,65.3,10
EP34-Table1,1/20,0.05,2,30.5,20
EP34-Table1,neat,1,3,623.4,1
EP34-Table1,1/2,0.5,3,298.3,2
EP34-Table1,1/4,0.25,3,158.3,4
EP34-Table1,1/10,0.1,3,70.2,10
EP34-Table1,1/20,0.05,3,28.6,20
