sample,dilution,fraction,observed_mean,assigned,dilution_factor
1,neat,1,506,506,1
1,1/2,0.5,264.5,506,2
1,1/4,0.25,119.6,506,4
1,1/10,0.1,46,506,10
1,1/20,0.05,27.2,506,20
2,neat,1,598,598,1
2,1/2,0.5,294.4,598,2
2,1/4,0.25,154.1,598,4
2,1/10,0.1,65.3,598,10
2,1/20,0.05,27,598,20
3,neat,1,570.4,570.4,1
3,1/2,0.5,292.1,570.4,2
3,1/4,0.25,151.8,570.4,4
3,1/10,0.1,61.6,570.4,10
3,1/20,0.05,31.3,570.4,20
4,neat,1,625.6,625.6,1
4,1/2,0.5,299,625.6,2
4,1/4,0.25,158.7,625.6,4
4,1/10,0.1,66.2,625.6,10
4,1/20,0.05,31.1,625.6,20
5,neat,1,561.2,561.2,1
5,1/2,0.5,285.2,561.2,2
5,1/4,0.25,151.8,561.2,4
5,1/10,0.1,53.4,561.2,10
5,1/20,0.05,25.8,561.2,20
