"id","batch","sample_type","reference","candidate"
1,"B1","serum",10,11.59
2,"B1","plasma",14.9,16.55
3,"B1","urine",19.7,20.9
4,"B1","serum",24.6,30.44
5,"B1","plasma",29.5,34.05
6,"B1","urine",34.4,37.96
7,"B1","serum",39.2,61.3
8,"B1","plasma",44.1,50.37
9,"B1","urine",49,53.1
10,"B1","serum",53.8,59.18
11,"B1","plasma",58.7,63.71
12,"B1","urine",63.6,68.97
13,"B1","serum",68.5,74.17
14,"B1","plasma",73.3,76.44
15,"B1","urine",78.2,82.81
16,"B1","serum",83.1,87.16
17,"B1","plasma",87.9,96.41
18,"B1","urine",92.8,98.39
19,"B1","serum",97.7,105.24
20,"B1","plasma",102.6,107.96
21,"B2","urine",107.4,117.19
22,"B2","serum",112.3,118.96
23,"B2","plasma",117.2,124.56
24,"B2","urine",122.1,129.19
25,"B2","serum",126.9,136.71
26,"B2","plasma",131.8,138.36
27,"B2","urine",136.7,145.83
28,"B2","serum",141.5,150.32
29,"B2","plasma",146.4,152.96
30,"B2","urine",151.3,156.92
31,"B2","serum",156.2,167.61
32,"B2","plasma",161,171.96
33,"B2","urine",165.9,177.27
34,"B2","serum",170.8,181.65
35,"B2","plasma",175.6,188.01
36,"B2","urine",180.5,189.1
37,"B2","serum",185.4,194.81
38,"B2","plasma",190.3,205.35
39,"B2","urine",195.1,206.55
40,"B2","serum",200,209.9
