"id","mp_x","mp_y","unit"
1,0.004,0.001,"ug/L"
2,0.001,0.007,"ug/L"
3,0.007,0.001,"ug/L"
4,0.007,0.001,"ug/L"
5,0.004,0.012,"ug/L"
6,0.012,0.004,"ug/L"
7,0.004,0.013,"ug/L"
8,0.014,0.006,"ug/L"
9,0.014,0.008,"ug/L"
10,0.008,0.015,"ug/L"
11,0.03,0.012,"ug/L"
12,0.018,0.026,"ug/L"
13,0.026,0.018,"ug/L"
14,0.03,0.041,"ug/L"
15,0.04,0.036,"ug/L"
16,0.037,0.05,"ug/L"
17,0.045,0.051,"ug/L"
18,0.051,0.045,"ug/L"
19,0.15,0.142,"ug/L"
20,0.173,0.179,"ug/L"
21,0.194,0.23,"ug/L"
22,0.224,0.22,"ug/L"
23,0.244,0.264,"ug/L"
24,0.338,0.34,"ug/L"
25,0.645,0.653,"ug/L"
26,0.607,0.703,"ug/L"
27,0.641,0.697,"ug/L"
28,0.666,0.739,"ug/L"
29,0.744,0.768,"ug/L"
30,0.766,0.861,"ug/L"
31,0.884,0.863,"ug/L"
32,0.871,0.883,"ug/L"
33,0.88,0.877,"ug/L"
34,0.893,0.955,"ug/L"
35,1.038,0.811,"ug/L"
36,1.09,1,"ug/L"
37,1.2,1.479,"ug/L"
38,1.389,1.833,"ug/L"
39,1.774,1.729,"ug/L"
40,1.767,1.772,"ug/L"
41,1.773,1.945,"ug/L"
42,1.917,1.991,"ug/L"
43,1.978,2.084,"ug/L"
44,2.315,2.373,"ug/L"
45,2.371,2.329,"ug/L"
46,2.681,2.623,"ug/L"
47,3.034,3.58,"ug/L"
48,3.287,3.348,"ug/L"
49,3.469,3.472,"ug/L"
50,4.063,3.979,"ug/L"
51,5.186,5.264,"ug/L"
52,5.404,5.244,"ug/L"
53,5.243,5.529,"ug/L"
54,6.811,6.149,"ug/L"
55,7.215,6.815,"ug/L"
56,7.792,7.961,"ug/L"
57,8.719,8.348,"ug/L"
58,10.365,9.885,"ug/L"
59,11.154,11.608,"ug/L"
60,11.878,11.588,"ug/L"
61,13.001,12.864,"ug/L"
62,13.041,13.246,"ug/L"
63,14.037,14.152,"ug/L"
64,14.942,14.272,"ug/L"
65,14.838,14.692,"ug/L"
66,16.637,14.921,"ug/L"
67,17.873,16.436,"ug/L"
68,18.031,16.918,"ug/L"
69,17.757,21.047,"ug/L"
70,22.538,21.096,"ug/L"
71,24.358,22.259,"ug/L"
72,23.72,23.21,"ug/L"
73,24.655,24.996,"ug/L"
74,26.155,26.577,"ug/L"
75,43.709,41.22,"ug/L"
76,41.801,43.464,"ug/L"
77,62.516,75.876,"ug/L"
78,69.923,71.797,"ug/L"
79,91.235,99.802,"ug/L"
