"statistic","calculated","standard","tolerance","difference","status"
"median",-0.334522,-0.335,0.0005,0.000478,"对应"
"position_40",-2.020202,-2.020,0.0005,-0.000202,"对应"
"position_41",-1.987061,-1.990,0.005,0.002939,"对应"
"position_60",1.003105,1.000,0.005,0.003105,"对应"
"position_61",1.587302,1.590,0.005,-0.002698,"对应"
"interpolated_lower",-1.996997,-1.997,0.0005,0.000003,"按公式对应"
"interpolated_upper",1.178259,1.152,0.03,0.026259,"公式/正文差异"
"HL_pseudomedian",0.046023,-0.05,0.1,0.096023,"原表/正文符号差异"
"HL_lower",-1.403437,-1.41,0.01,0.006563,"对应"
"HL_upper",1.607503,1.61,0.01,-0.002497,"对应"
