sample,comparative,evaluated
1,21,23
2,128,130
3,43,40
4,125,128
5,165,163
6,223,228
7,228,242
8,19,20
9,24,21
10,68,72
11,75,76
12,129,125
13,142,137
14,54,51
15,37,35
16,88,94
17,94,87
18,107,113
19,123,128
20,43,41
21,55,52
22,65,69
23,78,75
24,91,87
25,12,13
26,23,28
27,25,30
28,82,88
29,199,207
30,230,245
31,158,152
32,143,147
33,125,128
34,79,88
35,72,75
36,38,42
37,66,67
38,54,56
39,27,30
40,83,87
41,98,95
42,168,172
43,243,250
44,265,272
45,134,138
46,123,128
47,78,81
48,25,21
49,34,35
50,48,52
51,198,204
52,196,203
53,45,54
54,65,69
55,37,32
56,89,84
57,90,95
58,91,95
59,186,195
60,54,57
61,28,27
62,95,99
63,132,138
64,139,142
65,256,260
66,231,253
67,78,83
68,92,95
69,37,39
70,75,79
71,56,52
72,98,104
73,57,65
74,54,56
75,38,42
76,32,37
77,56,59
78,189,189
79,200,213
80,243,255
81,105,107
82,124,127
83,109,112
84,79,83
85,92,95
86,84,90
87,28,24
88,29,26
89,89,94
90,73,75
91,57,56
92,189,194
93,194,199
94,199,209
95,78,83
96,42,44
97,78,82
98,89,94
99,95,100
100,104,109
101,189,192
102,28,25
103,147,150
104,128,132
105,18,15
106,25,23
107,189,194
108,254,267
109,173,180
110,66,69
111,73,78
112,85,89
113,81,85
114,182,188
115,195,204
116,65,67
117,75,75
118,57,59
119,190,199
120,82,86
