"sample","day","rep","value"
"L1",1,1,21.26
"L1",1,2,20.82
"L1",1,3,20.79
"L1",1,4,20.61
"L1",1,5,20.22
"L1",2,1,20.64
"L1",2,2,21.46
"L1",2,3,21.18
"L1",2,4,20.38
"L1",2,5,19.94
"L1",3,1,18.7
"L1",3,2,19.32
"L1",3,3,19.3
"L1",3,4,18.51
"L1",3,5,20.51
"L2",1,1,48.01
"L2",1,2,46.34
"L2",1,3,46.85
"L2",1,4,47.79
"L2",1,5,48.04
"L2",2,1,50.65
"L2",2,2,50.79
"L2",2,3,52.17
"L2",2,4,53.55
"L2",2,5,52.58
"L2",3,1,50.66
"L2",3,2,49.1
"L2",3,3,50.52
"L2",3,4,52.55
"L2",3,5,53.93
"L3",1,1,112.78
"L3",1,2,104.66
"L3",1,3,103.58
"L3",1,4,100.7
"L3",1,5,102.62
"L3",2,1,100.49
"L3",2,2,96.28
"L3",2,3,107.48
"L3",2,4,95.91
"L3",2,5,100.57
"L3",3,1,98.37
"L3",3,2,104.25
"L3",3,3,103.32
"L3",3,4,96.37
"L3",3,5,99.81
"L4",1,1,206.49
"L4",1,2,193.45
"L4",1,3,197.16
"L4",1,4,192.9
"L4",1,5,193.55
"L4",2,1,203.48
"L4",2,2,212.99
"L4",2,3,213.78
"L4",2,4,207.05
"L4",2,5,200.93
"L4",3,1,193.66
"L4",3,2,198.67
"L4",3,3,201.77
"L4",3,4,195.57
"L4",3,5,200.46
"L5",1,1,419.6
"L5",1,2,376.73
"L5",1,3,393.71
"L5",1,4,393.84
"L5",1,5,392.91
"L5",2,1,400.6
"L5",2,2,378.94
"L5",2,3,379.15
"L5",2,4,396.83
"L5",2,5,410.28
"L5",3,1,405.69
"L5",3,2,387.6
"L5",3,3,409.33
"L5",3,4,400.97
"L5",3,5,411.18
