"statistic","calculated","standard","tolerance","difference","status"
"mean",244.200000,244.2,0.05,0.000000,"对应"
"SS_day",415.800000,415.8,0.05,0.000000,"对应"
"SS_run_day",281.000000,281.0,0.05,0.000000,"对应"
"SS_error",316.000000,316.0,0.05,0.000000,"对应"
"SS_total",1012.800000,1012.8,0.05,0.000000,"对应"
"MS_day",21.884211,21.88,0.005,0.004211,"对应"
"MS_run_day",14.050000,14.05,0.005,0.000000,"对应"
"MS_error",7.900000,7.90,0.005,0.000000,"对应"
"V_day",1.958553,1.96,0.005,-0.001447,"对应"
"V_run",3.075000,3.08,0.005,-0.005000,"对应"
"V_error",7.900000,7.90,0.005,0.000000,"对应"
"SD_repeatability",2.810694,2.81,0.005,0.000694,"对应"
"SD_within_lab",3.596325,3.60,0.005,-0.003675,"对应"
"CV_repeatability",1.150980,1.2,0.05,-0.049020,"对应"
"CV_within_lab",1.472697,1.5,0.05,-0.027303,"对应"
"DF_within_lab",64.777320,65,0.5,-0.222680,"对应"
