run,replicate,sample,result
1,1,1,26.6
1,1,2,140
1,1,3,606
1,2,1,25.2
1,2,2,139
1,2,3,627
1,3,1,30.2
1,3,2,138
1,3,3,621
1,4,1,27.6
1,4,2,138
1,4,3,606
1,5,1,25.6
1,5,2,140
1,5,3,620
2,2,1,25.7
2,2,2,143
2,2,3,610
2,3,1,23.8
2,3,2,141
2,3,3,611
2,4,1,25.3
2,4,2,143
2,4,3,595
2,5,1,24.1
2,5,2,137
2,5,3,630
3,1,1,26.1
3,1,2,140
3,1,3,649
3,2,1,24.0
3,2,2,138
3,2,3,626
3,4,1,26.0
3,4,2,141
3,4,3,639
5,1,1,24.5
5,1,2,139
5,1,3,622
5,3,1,25.8
5,3,2,141
5,3,3,646
5,4,1,26.0
5,4,2,138
5,4,3,619
5,5,1,25.1
5,5,2,141
5,5,3,623
2,1,1,24.3
2,1,2,140
2,1,3,612
3,3,1,25.4
3,3,2,136
3,3,3,636
3,5,1,24.3
3,5,2,136
3,5,3,648
4,1,1,26.5
4,1,2,141
4,1,3,615
4,2,1,27.1
4,2,2,144
4,2,3,633
4,3,1,25.9
4,3,2,142
4,3,3,605
4,4,1,25.5
4,4,2,143
4,4,3,616
4,5,1,25.5
4,5,2,144
4,5,3,625
5,2,1,26.4
5,2,2,140
5,2,3,632
