level,dilution,replicate,result
1,0,1,4.63
1,0,2,4.56
1,0,3,4.55
1,0,4,4.42
2,0.0125,1,18.85
2,0.0125,2,21.32
2,0.0125,3,20.38
2,0.0125,4,20.97
3,0.025,1,35.94
3,0.025,2,37.10
3,0.025,3,35.65
3,0.025,4,35.53
4,0.05,1,62.10
4,0.05,2,63.87
4,0.05,3,62.02
4,0.05,4,61.44
5,0.1,1,131.06
5,0.1,2,135.40
5,0.1,3,137.71
5,0.1,4,133.02
6,0.2,1,259.35
6,0.2,2,245.41
6,0.2,3,245.20
6,0.2,4,239.26
7,0.3,1,386.52
7,0.3,2,382.51
7,0.3,3,358.52
7,0.3,4,396.21
8,0.4,1,456.35
8,0.4,2,485.42
8,0.4,3,476.45
8,0.4,4,454.96
9,0.5,1,596.66
9,0.5,2,576.83
9,0.5,3,598.56
9,0.5,4,589.47
10,0.6,1,733.90
10,0.6,2,766.82
10,0.6,3,772.45
10,0.6,4,751.47
11,0.7,1,872.75
11,0.7,2,801.89
11,0.7,3,780.68
11,0.7,4,812.21
12,0.8,1,1004.80
12,0.8,2,1038.29
12,0.8,3,980.21
12,0.8,4,965.09
13,0.9,1,1082.34
13,0.9,2,1039.38
13,0.9,3,1041.17
13,0.9,4,1068.15
14,1,1,1268.28
14,1,2,1254.07
14,1,3,1233.80
14,1,4,1222.96
