"lot","sample","result"
"1","Low 1",21
"1","Low 1",22.8
"1","Low 1",28.2
"1","Low 1",25.9
"1","Low 1",26.4
"1","Low 1",28.3
"1","Low 1",20.7
"1","Low 1",21.9
"1","Low 1",24.7
"1","Low 1",22.5
"1","Low 1",28.5
"1","Low 1",29.2
"1","Low 2",13.3
"1","Low 2",12.6
"1","Low 2",18.2
"1","Low 2",14.7
"1","Low 2",17.8
"1","Low 2",14
"1","Low 2",14.1
"1","Low 2",12.5
"1","Low 2",11.3
"1","Low 2",12.2
"1","Low 2",16.2
"1","Low 2",13.9
"1","Low 3",12.8
"1","Low 3",12.9
"1","Low 3",17.4
"1","Low 3",16
"1","Low 3",15.9
"1","Low 3",14.1
"1","Low 3",11.3
"1","Low 3",9.4
"1","Low 3",10.6
"1","Low 3",13.6
"1","Low 3",17.6
"1","Low 3",14.9
"1","Low 4",17.3
"1","Low 4",19.2
"1","Low 4",21.5
"1","Low 4",22.2
"1","Low 4",24.1
"1","Low 4",25.8
"1","Low 4",16
"1","Low 4",16.4
"1","Low 4",24.9
"1","Low 4",23.8
"1","Low 4",22.1
"1","Low 4",26.1
"1","Low 5",19.2
"1","Low 5",22.7
"1","Low 5",28.3
"1","Low 5",26.2
"1","Low 5",25.1
"1","Low 5",30.3
"1","Low 5",23.4
"1","Low 5",19.2
"1","Low 5",26.3
"1","Low 5",23.1
"1","Low 5",27.5
"1","Low 5",30.1
"2","Low 1",22
"2","Low 1",22.5
"2","Low 1",21.8
"2","Low 1",22.1
"2","Low 1",20.3
"2","Low 1",21
"2","Low 1",25.3
"2","Low 1",26
"2","Low 1",27.2
"2","Low 1",25.1
"2","Low 1",25.3
"2","Low 1",25.3
"2","Low 2",15.6
"2","Low 2",21.2
"2","Low 2",14.8
"2","Low 2",14.9
"2","Low 2",16
"2","Low 2",15.8
"2","Low 2",21.6
"2","Low 2",22.8
"2","Low 2",15.3
"2","Low 2",18.7
"2","Low 2",18.3
"2","Low 2",19.5
"2","Low 3",13
"2","Low 3",15.9
"2","Low 3",9
"2","Low 3",7
"2","Low 3",13.4
"2","Low 3",8.5
"2","Low 3",16.3
"2","Low 3",18.1
"2","Low 3",12.4
"2","Low 3",11.1
"2","Low 3",11.3
"2","Low 3",10.1
"2","Low 4",18.8
"2","Low 4",17.6
"2","Low 4",14.1
"2","Low 4",14.9
"2","Low 4",19.2
"2","Low 4",15.8
"2","Low 4",19.8
"2","Low 4",21.4
"2","Low 4",18
"2","Low 4",18
"2","Low 4",19.6
"2","Low 4",23.1
"2","Low 5",32.9
"2","Low 5",30.4
"2","Low 5",29.4
"2","Low 5",27.6
"2","Low 5",27.7
"2","Low 5",30.6
"2","Low 5",31.4
"2","Low 5",30.4
"2","Low 5",32.5
"2","Low 5",28.9
"2","Low 5",29.8
"2","Low 5",35.1
