"lot","sample","result","assigned"
"A","Pool 1",36.7,38.2
"A","Pool 1",37.9,38.2
"A","Pool 1",38.3,38.2
"A","Pool 1",36.8,38.2
"A","Pool 1",33.5,38.2
"A","Pool 1",39.2,38.2
"A","Pool 1",41.3,38.2
"A","Pool 1",37.9,38.2
"A","Pool 1",34.9,38.2
"A","Pool 2",49.9,47.1
"A","Pool 2",50,47.1
"A","Pool 2",48.1,47.1
"A","Pool 2",47.8,47.1
"A","Pool 2",43.9,47.1
"A","Pool 2",45.6,47.1
"A","Pool 2",45.4,47.1
"A","Pool 2",51.5,47.1
"A","Pool 2",45.8,47.1
"A","Pool 3",46.1,44.7
"A","Pool 3",43.1,44.7
"A","Pool 3",39.4,44.7
"A","Pool 3",47.3,44.7
"A","Pool 3",45.8,44.7
"A","Pool 3",44.8,44.7
"A","Pool 3",44.6,44.7
"A","Pool 3",47.3,44.7
"A","Pool 3",38.9,44.7
"A","Pool 4",33.3,36.5
"A","Pool 4",34.2,36.5
"A","Pool 4",34.5,36.5
"A","Pool 4",43.1,36.5
"A","Pool 4",34,36.5
"A","Pool 4",37.1,36.5
"A","Pool 4",35.3,36.5
"A","Pool 4",32.4,36.5
"A","Pool 4",36,36.5
"A","Pool 5",42.9,42.8
"A","Pool 5",41.8,42.8
"A","Pool 5",43.8,42.8
"A","Pool 5",46.3,42.8
"A","Pool 5",43.3,42.8
"A","Pool 5",46,42.8
"A","Pool 5",42.6,42.8
"A","Pool 5",41.4,42.8
"A","Pool 5",42.8,42.8
"B","Pool 1",38.5,38.2
"B","Pool 1",41,38.2
"B","Pool 1",43.2,38.2
"B","Pool 1",36.8,38.2
"B","Pool 1",42.1,38.2
"B","Pool 1",35.8,38.2
"B","Pool 1",36.8,38.2
"B","Pool 1",44.1,38.2
"B","Pool 1",39.5,38.2
"B","Pool 2",45.8,47.1
"B","Pool 2",47.8,47.1
"B","Pool 2",46.6,47.1
"B","Pool 2",46.9,47.1
"B","Pool 2",51.3,47.1
"B","Pool 2",50.5,47.1
"B","Pool 2",44.3,47.1
"B","Pool 2",47.5,47.1
"B","Pool 2",52.4,47.1
"B","Pool 3",46.7,44.7
"B","Pool 3",43.6,44.7
"B","Pool 3",42.4,44.7
"B","Pool 3",46.5,44.7
"B","Pool 3",47.9,44.7
"B","Pool 3",42.7,44.7
"B","Pool 3",42.1,44.7
"B","Pool 3",43.4,44.7
"B","Pool 3",44.7,44.7
"B","Pool 4",35.5,36.5
"B","Pool 4",40,36.5
"B","Pool 4",34,36.5
"B","Pool 4",32.9,36.5
"B","Pool 4",33.1,36.5
"B","Pool 4",38.6,36.5
"B","Pool 4",36.2,36.5
"B","Pool 4",41.4,36.5
"B","Pool 4",33,36.5
"B","Pool 5",42,42.8
"B","Pool 5",44.1,42.8
"B","Pool 5",43.2,42.8
"B","Pool 5",46.6,42.8
"B","Pool 5",45.5,42.8
"B","Pool 5",43.5,42.8
"B","Pool 5",41.4,42.8
"B","Pool 5",48.2,42.8
"B","Pool 5",45.7,42.8
